Week #,Starting Date,Total Value,Num Datapoints,Average Value
1,1/3/2010,0,7,0
2,1/10/2010,0,7,0
3,1/17/2010,0,7,0
4,1/24/2010,0,7,0
5,1/31/2010,0,7,0
6,2/7/2010,0,7,0
7,2/14/2010,2.47230321,7,0.3531861729
8,2/21/2010,0,7,0
9,2/28/2010,0,7,0
10,3/7/2010,0,7,0
11,3/14/2010,20,7,2.857142857
12,3/21/2010,2,7,0.2857142857
13,3/28/2010,0,7,0
14,4/4/2010,0,7,0
15,4/11/2010,0,7,0
16,4/18/2010,0,7,0
17,4/25/2010,0,7,0
18,5/2/2010,0,7,0
19,5/9/2010,0,7,0
20,5/16/2010,0,7,0
21,5/23/2010,0,7,0
22,5/30/2010,0,7,0
23,6/6/2010,0,7,0
24,6/13/2010,0,7,0
25,6/20/2010,0,7,0
26,6/27/2010,0,7,0
27,7/4/2010,0,7,0
28,7/11/2010,0,7,0
29,7/18/2010,0,7,0
30,7/25/2010,0,7,0
31,8/1/2010,0,7,0
32,8/8/2010,0,7,0
33,8/15/2010,6,7,0.8571428571
34,8/22/2010,0,7,0
35,8/29/2010,0,7,0
36,9/5/2010,0,7,0
37,9/12/2010,15.10714286,7,2.158163266
38,9/19/2010,0,7,0
39,9/26/2010,0,7,0
40,10/3/2010,0,7,0
41,10/10/2010,0,7,0
42,10/17/2010,0,7,0
43,10/24/2010,6,7,0.8571428571
44,10/31/2010,2.766728135,7,0.3952468764
45,11/7/2010,0,7,0
46,11/14/2010,37.00221867,7,5.286031238
47,11/21/2010,0,7,0
48,11/28/2010,0,7,0
49,12/5/2010,0,7,0
50,12/12/2010,0,7,0
51,12/19/2010,0,7,0
52,12/26/2010,0,7,0
53,1/2/2011,0,7,0
54,1/9/2011,0,7,0
55,1/16/2011,8,7,1.142857143
56,1/23/2011,0,7,0
57,1/30/2011,0,7,0
58,2/6/2011,2,7,0.2857142857
59,2/13/2011,0,7,0
60,2/20/2011,0,7,0
61,2/27/2011,0,7,0
62,3/6/2011,0,7,0
63,3/13/2011,0,7,0
