Week,Starting Date,Total Value,Num Datapoints,Average Value
1,1/3/2010,607.613079,7,86.80186842
2,1/10/2010,665.5206841,7,95.07438344
3,1/17/2010,681.2177613,7,97.31682305
4,1/24/2010,645.0356109,7,92.14794441
5,1/31/2010,669.1328193,7,95.59040276
6,2/7/2010,663.5403155,7,94.79147365
7,2/14/2010,646.4058381,7,92.34369115
8,2/21/2010,643.7084618,7,91.95835168
9,2/28/2010,616.5503227,7,88.07861752
10,3/7/2010,621.896111,7,88.84230157
11,3/14/2010,484.9203353,7,69.27433361
12,3/21/2010,589.0557608,7,84.15082297
13,3/28/2010,619.3681279,7,88.48116112
14,4/4/2010,586.8672886,7,83.83818408
15,4/11/2010,647.4714334,7,92.49591906
16,4/18/2010,579.8679487,7,82.83827839
17,4/25/2010,551.5236536,7,78.78909337
18,5/2/2010,458.3672282,7,65.4810326
19,5/9/2010,527.2603724,7,75.32291035
20,5/16/2010,597.2656903,7,85.32367004
21,5/23/2010,553.4616133,7,79.06594475
22,5/30/2010,532.7714989,7,76.11021413
23,6/6/2010,513.9127248,7,73.41610355
24,6/13/2010,436.8459376,7,62.40656252
25,6/20/2010,434.6349901,7,62.09071287
26,6/27/2010,396.181491,7,56.59735586
27,7/4/2010,406.7497197,7,58.10710281
28,7/11/2010,424.3969192,7,60.62813131
29,7/18/2010,390.0731707,7,55.72473868
30,7/25/2010,446.6537897,7,63.80768425
31,8/1/2010,453.939297,7,64.84847101
32,8/8/2010,515.138078,7,73.59115399
33,8/15/2010,439.223975,7,62.74628214
34,8/22/2010,386.5120556,7,55.21600794
35,8/29/2010,522.7640773,7,74.68058247
36,9/5/2010,480.9535962,7,68.70765661
37,9/12/2010,513.9402887,7,73.42004124
38,9/19/2010,576.3052106,7,82.3293158
39,9/26/2010,280.7004366,7,40.10006237
40,10/3/2010,578.1120356,7,82.58743366
41,10/10/2010,415.8303871,7,59.40434101
42,10/17/2010,544.1510204,7,77.73586005
43,10/24/2010,658.9114046,7,94.13020065
44,10/31/2010,609.4601171,7,87.06573102
45,11/7/2010,627.0900724,7,89.58429606
46,11/14/2010,595.0985402,7,85.01407718
47,11/21/2010,630.7976363,7,90.11394804
48,11/28/2010,641.4493443,7,91.63562062
49,12/5/2010,640.2998767,7,91.47141095
50,12/12/2010,649.5956705,7,92.79938149
51,12/19/2010,658.7468858,7,94.10669798
52,12/26/2010,639.9119735,7,91.41599622
53,1/2/2011,595.028758,7,85.00410829
54,1/9/2011,632.2174558,7,90.31677939
55,1/16/2011,568.4827366,7,81.21181951
56,1/23/2011,531.9804542,7,75.99720774
57,1/30/2011,547.5944869,7,78.22778384
58,2/6/2011,507.2083663,7,72.45833805
59,2/13/2011,649.7059042,7,92.81512917
60,2/20/2011,646.1523562,7,92.30747945
61,2/27/2011,643.9825006,7,91.99750008
62,3/6/2011,652.6883882,7,93.24119832
63,3/13/2011,656.6249171,7,93.80355958
64,3/20/2011,634.8523388,7,90.69319125
65,3/27/2011,600.3316418,7,85.76166312
66,4/3/2011,551.2112245,7,78.74446064
67,4/10/2011,607.8550611,7,86.8364373
68,4/17/2011,630.0983158,7,90.01404512
69,4/24/2011,607.5349614,7,86.79070876
70,5/1/2011,459.8237837,7,65.68911196
71,5/8/2011,565.4353889,7,80.77648413
72,5/15/2011,568.9926887,7,81.28466981
73,5/22/2011,575.5077714,7,82.21539591
74,5/29/2011,584.0566047,7,83.43665782
75,6/5/2011,552.2299621,7,78.88999459
76,6/12/2011,468.7002705,7,66.9571815
77,6/19/2011,426.5856912,7,60.94081303
78,6/26/2011,545.5592558,7,77.93703654
79,7/3/2011,492.501379,7,70.35733985
80,7/10/2011,585.9676754,7,83.70966791
81,7/17/2011,559.2069658,7,79.8867094
82,7/24/2011,455.5044786,7,65.07206837
83,7/31/2011,580.9540195,7,82.99343136
84,8/7/2011,555.7945834,7,79.3992262
85,8/14/2011,519.6905672,7,74.2415096
86,8/21/2011,554.5987266,7,79.22838952
87,8/28/2011,439.8597934,7,62.83711334
88,9/4/2011,413.9790462,7,59.13986374
89,9/11/2011,557.7724346,7,79.68177637
