Week,Starting Date,Total Value,Num Datapoints,Average Value
1,1/3/2010,389.3911589,7,55.62730842
2,1/10/2010,440.2848701,7,62.89783859
3,1/17/2010,585.5709559,7,83.6529937
4,1/24/2010,457.8135883,7,65.40194118
5,1/31/2010,485.5157555,7,69.35939365
6,2/7/2010,402.9187162,7,57.5598166
7,2/14/2010,284.3512948,7,40.62161355
8,2/21/2010,379.6611311,7,54.23730445
9,2/28/2010,350.7169449,7,50.10242069
10,3/7/2010,307.9856631,7,43.99795187
11,3/14/2010,169.6536081,7,24.23622973
12,3/21/2010,245.7126927,7,35.10181325
13,3/28/2010,387.1294803,7,55.30421148
14,4/4/2010,292.6879859,7,41.81256941
15,4/11/2010,375.0729484,7,53.58184977
16,4/18/2010,278.4301591,7,39.77573702
17,4/25/2010,252.7379077,7,36.10541538
18,5/2/2010,180.6011647,7,25.80016638
19,5/9/2010,261.5845721,7,37.36922458
20,5/16/2010,321.9221336,7,45.98887623
21,5/23/2010,316.2770535,7,45.18243622
22,5/30/2010,356.8357731,7,50.97653902
23,6/6/2010,239.5637106,7,34.22338724
24,6/13/2010,176.3384888,7,25.19121269
25,6/20/2010,187.8198701,7,26.83141001
26,6/27/2010,151.7420223,7,21.67743176
27,7/4/2010,147.0729559,7,21.01042227
28,7/11/2010,159.6153446,7,22.80219209
29,7/18/2010,138.8017927,7,19.82882753
30,7/25/2010,166.7279084,7,23.81827263
31,8/1/2010,133.2637697,7,19.03768138
32,8/8/2010,170.1540823,7,24.30772604
33,8/15/2010,129.3382337,7,18.47689052
34,8/22/2010,141.4957085,7,20.21367264
35,8/29/2010,167.9867028,7,23.9981004
36,9/5/2010,175.15344,7,25.02192
37,9/12/2010,170.2023766,7,24.31462523
38,9/19/2010,218.9489082,7,31.27841546
39,9/26/2010,49.632117,7,7.090302429
40,10/3/2010,257.2891646,7,36.75559494
41,10/10/2010,106.8698352,7,15.26711932
42,10/17/2010,277.7730241,7,39.68186058
43,10/24/2010,429.6735731,7,61.38193901
44,10/31/2010,280.9633031,7,40.13761472
45,11/7/2010,349.4645686,7,49.92350981
46,11/14/2010,333.7017174,7,47.67167391
47,11/21/2010,393.7748836,7,56.2535548
48,11/28/2010,409.6333169,7,58.51904528
49,12/5/2010,467.5696783,7,66.79566833
50,12/12/2010,409.7484901,7,58.53549859
51,12/19/2010,483.9960401,7,69.14229144
52,12/26/2010,411.5032509,7,58.7861787
53,1/2/2011,292.5046095,7,41.78637279
54,1/9/2011,354.2528191,7,50.60754558
55,1/16/2011,290.9806116,7,41.5686588
56,1/23/2011,230.8285878,7,32.97551254
57,1/30/2011,242.6895519,7,34.66993599
58,2/6/2011,200.7001219,7,28.67144599
59,2/13/2011,395.2945653,7,56.47065219
60,2/20/2011,349.9163968,7,49.98805669
61,2/27/2011,338.9484161,7,48.4212023
62,3/6/2011,356.3502158,7,50.90717368
63,3/13/2011,373.6337828,7,53.37625469
64,3/20/2011,392.2488416,7,56.0355488
65,3/27/2011,270.6940966,7,38.67058523
66,4/3/2011,232.803691,7,33.25767014
67,4/10/2011,295.5186044,7,42.21694349
68,4/17/2011,338.6738429,7,48.38197756
69,4/24/2011,273.7438841,7,39.10626915
70,5/1/2011,186.6938113,7,26.67054448
71,5/8/2011,251.9010927,7,35.98587038
72,5/15/2011,287.3825441,7,41.05464916
73,5/22/2011,301.6947827,7,43.09925466
74,5/29/2011,299.030237,7,42.71860528
75,6/5/2011,238.7780166,7,34.11114523
76,6/12/2011,193.6212257,7,27.6601751
77,6/19/2011,165.9184574,7,23.70263678
78,6/26/2011,231.675155,7,33.09645072
79,7/3/2011,183.6013669,7,26.2287667
80,7/10/2011,240.5974135,7,34.37105907
81,7/17/2011,211.0446558,7,30.14923654
82,7/24/2011,162.8516337,7,23.2645191
83,7/31/2011,201.1965921,7,28.7423703
84,8/7/2011,180.9663923,7,25.85234176
85,8/14/2011,152.8663886,7,21.83805552
86,8/21/2011,168.3553538,7,24.05076482
87,8/28/2011,113.5907239,7,16.22724626
88,9/4/2011,101.8937277,7,14.55624681
89,9/11/2011,175.8322187,7,25.11888839
90,9/18/2011,90.55882678,7,12.93697525
91,9/25/2011,182.6139877,7,26.08771253
92,10/2/2011,348.3363591,7,49.76233702
93,10/9/2011,282.8259879,7,40.40371256
94,10/16/2011,219.4778938,7,31.35398483
95,10/23/2011,118.8879513,7,16.98399304
96,10/30/2011,223.358715,7,31.90838786
97,11/6/2011,283.1297212,7,40.44710303
98,11/13/2011,295.5193926,7,42.21705609
99,11/20/2011,452.1918735,7,64.59883907
100,11/27/2011,211.7499254,7,30.24998934
101,12/4/2011,164.7433657,7,23.53476653
102,12/11/2011,252.2446621,7,36.03495172
103,12/18/2011,170.1738407,7,24.31054867
104,12/25/2011,306.4462305,7,43.77803293
105,1/1/2012,235.0008187,7,33.57154552
106,1/8/2012,152.5304612,7,21.79006588
107,1/15/2012,335.2960149,7,47.8994307
108,1/22/2012,383.1669654,7,54.73813791
109,1/29/2012,228.1265564,7,32.58950806
110,2/5/2012,285.1704042,7,40.73862917
111,2/12/2012,284.8067725,7,40.68668178
112,2/19/2012,234.0092908,7,33.42989869
113,2/26/2012,256.0422263,7,36.5774609
114,3/4/2012,173.4115024,7,24.77307177
115,3/11/2012,390.4412773,7,55.77732534
116,3/18/2012,317.7176089,7,45.38822985
117,3/25/2012,394.6469697,7,56.37813853
118,4/1/2012,256.4672754,7,36.6381822
119,4/8/2012,299.066528,7,42.72378972
120,4/15/2012,287.6021842,7,41.08602632
121,4/22/2012,289.327512,7,41.33250171
122,4/29/2012,232.7021796,7,33.24316851
123,5/6/2012,146.2642906,7,20.89489866
124,5/13/2012,168.713997,7,24.10199958
125,5/20/2012,207.7548784,7,29.67926834
126,5/27/2012,179.9524247,7,25.70748925
127,6/3/2012,218.7952534,7,31.25646477
128,6/10/2012,131.0479851,7,18.72114072
129,6/17/2012,166.9594698,7,23.85135283
130,6/24/2012,169.4351208,7,24.20501726
131,7/1/2012,165.0871283,7,23.58387546
132,7/8/2012,125.5973604,7,17.94248006
133,7/15/2012,155.372629,7,22.19608985
134,7/22/2012,114.5957588,7,16.37082268
135,7/29/2012,72.79120046,7,10.39874292
136,8/5/2012,63.92194297,7,9.131706138
137,8/12/2012,63.88770217,7,9.126814596
138,8/19/2012,64.613016,7,9.230430857
139,8/26/2012,67.98040123,7,9.71148589
140,9/2/2012,53.37677262,7,7.625253231
141,9/9/2012,62.68658925,7,8.955227036
142,9/16/2012,48.59603191,7,6.942290274
143,9/23/2012,72.97716512,7,10.4253093
144,9/30/2012,43.98455815,7,6.283508307
145,10/7/2012,126.7144038,7,18.10205768
146,10/14/2012,136.6949983,7,19.5278569
147,10/21/2012,289.9743211,7,41.42490301
148,10/28/2012,267.544176,7,38.22059657
149,11/4/2012,228.2804146,7,32.6114878
150,11/11/2012,290.7347388,7,41.53353411
