Week #,Starting Date,Total Value,Num Datapoints,Average Value,Average Value (/7)
1,1/3/2010,0.034839147,7,0.004977021,0.004977021
2,1/10/2010,0.036357622,7,0.005193946,0.005193946
3,1/17/2010,0.032826242,7,0.004689463,0.004689463
4,1/24/2010,0.03087936,7,0.004411337,0.004411337
5,1/31/2010,0.033114103,7,0.004730586,0.004730586
6,2/7/2010,0.031906579,7,0.004558083,0.004558083
7,2/14/2010,0.034500763,7,0.00492868,0.00492868
8,2/21/2010,0.029901127,7,0.00427159,0.00427159
9,2/28/2010,0.029077004,7,0.004153858,0.004153858
10,3/7/2010,0.024230042,7,0.003461435,0.003461435
11,3/14/2010,0.026260909,7,0.003751558,0.003751558
12,3/21/2010,0.028067503,7,0.004009643,0.004009643
13,3/28/2010,0.028677545,7,0.004096792,0.004096792
14,4/4/2010,0.026844279,7,0.003834897,0.003834897
15,4/11/2010,0.034263888,7,0.004894841,0.004894841
16,4/18/2010,0.033747361,7,0.004821052,0.004821052
17,4/25/2010,0.029088839,7,0.004155548,0.004155548
18,5/2/2010,0.027139458,7,0.003877065,0.003877065
19,5/9/2010,0.035860384,7,0.005122912,0.005122912
20,5/16/2010,0.037135215,7,0.005305031,0.005305031
21,5/23/2010,0.033376219,7,0.004768031,0.004768031
22,5/30/2010,0.054697898,7,0.007813985,0.007813985
23,6/6/2010,0.046686695,7,0.006669528,0.006669528
24,6/13/2010,0.038371066,7,0.005481581,0.005481581
25,6/20/2010,0.048381507,7,0.006911644,0.006911644
26,6/27/2010,0.044206729,7,0.006315247,0.006315247
27,7/4/2010,0.053048648,7,0.007578378,0.007578378
28,7/11/2010,0.058161957,7,0.008308851,0.008308851
29,7/18/2010,0.053435519,7,0.007633646,0.007633646
30,7/25/2010,0.053444633,7,0.007634948,0.007634948
31,8/1/2010,0.047779067,7,0.006825581,0.006825581
32,8/8/2010,0.051194668,7,0.007313524,0.007313524
33,8/15/2010,0.044868845,7,0.006409835,0.006409835
34,8/22/2010,0.03786473,7,0.005409247,0.005409247
35,8/29/2010,0.047741211,7,0.006820173,0.006820173
36,9/5/2010,0.036453376,7,0.005207625,0.005207625
37,9/12/2010,0.043682988,7,0.006240427,0.006240427
38,9/19/2010,0.04353674,7,0.006219534,0.006219534
39,9/26/2010,0.026877116,7,0.003839588,0.003839588
40,10/3/2010,0.043949765,7,0.006278538,0.006278538
41,10/10/2010,0.032730071,7,0.004675724,0.004675724
42,10/17/2010,0.0380267,7,0.005432386,0.005432386
43,10/24/2010,0.04065081,7,0.005807259,0.005807259
44,10/31/2010,0.046678541,7,0.006668363,0.006668363
45,11/7/2010,0.032180192,7,0.00459717,0.00459717
46,11/14/2010,0.033924028,7,0.00484629,0.00484629
47,11/21/2010,0.023205023,7,0.003315003,0.003315003
48,11/28/2010,0.028272799,7,0.004038971,0.004038971
49,12/5/2010,0.039026708,7,0.005575244,0.005575244
50,12/12/2010,0.031649094,7,0.004521299,0.004521299
51,12/19/2010,0.031769511,7,0.004538502,0.004538502
52,12/26/2010,0.024531099,7,0.003504443,0.003504443
53,1/2/2011,0.021210991,7,0.003030142,0.003030142
54,1/9/2011,0.025838244,7,0.003691178,0.003691178
55,1/16/2011,0.032067549,7,0.004581078,0.004581078
56,1/23/2011,0.02596992,7,0.003709989,0.003709989
57,1/30/2011,0.023944319,7,0.003420617,0.003420617
58,2/6/2011,0.022002006,7,0.003143144,0.003143144
59,2/13/2011,0.026932368,7,0.003847481,0.003847481
60,2/20/2011,0.021382135,7,0.003054591,0.003054591
61,2/27/2011,0.02684058,7,0.003834369,0.003834369
62,3/6/2011,0.03189674,7,0.004556677,0.004556677
63,3/13/2011,0.030960244,7,0.004422892,0.004422892
64,3/20/2011,0.027275311,7,0.003896473,0.003896473
65,3/27/2011,0.032968905,7,0.004709844,0.004709844
66,4/3/2011,0.024615981,7,0.003516569,0.003516569
67,4/10/2011,0.031212834,7,0.004458976,0.004458976
68,4/17/2011,0.038499641,7,0.005499949,0.005499949
69,4/24/2011,0.029552392,7,0.00422177,0.00422177
70,5/1/2011,0.033342121,7,0.00476316,0.00476316
71,5/8/2011,0.036952981,7,0.005278997,0.005278997
72,5/15/2011,0.034722841,7,0.004960406,0.004960406
73,5/22/2011,0.036043481,7,0.005149069,0.005149069
74,5/29/2011,0.03491106,7,0.004987294,0.004987294
75,6/5/2011,0.04337382,7,0.00619626,0.00619626
76,6/12/2011,0.045217636,7,0.006459662,0.006459662
77,6/19/2011,0.044685539,7,0.006383648,0.006383648
78,6/26/2011,0.05224674,7,0.00746382,0.00746382
79,7/3/2011,0.059424426,7,0.008489204,0.008489204
80,7/10/2011,0.05676132,7,0.00810876,0.00810876
81,7/17/2011,0.054293241,7,0.007756177,0.007756177
82,7/24/2011,0.051713068,7,0.007387581,0.007387581
83,7/31/2011,0.059592017,7,0.008513145,0.008513145
84,8/7/2011,0.054683503,7,0.007811929,0.007811929
85,8/14/2011,0.047089914,7,0.006727131,0.006727131
86,8/21/2011,0.055706423,7,0.00795806,0.00795806
87,8/28/2011,0.037615922,7,0.005373703,0.005373703
88,9/4/2011,0.041245131,7,0.005892162,0.005892162
89,9/11/2011,0.053977126,7,0.007711018,0.007711018
90,9/18/2011,0.036282786,7,0.005183255,0.005183255
91,9/25/2011,0.048348646,7,0.006906949,0.006906949
92,10/2/2011,0.044469579,7,0.006352797,0.006352797
93,10/9/2011,0.051868928,7,0.007409847,0.007409847
94,10/16/2011,0.050610876,7,0.007230125,0.007230125
95,10/23/2011,0.024175627,7,0.003453661,0.003453661
96,10/30/2011,0.027022073,7,0.003860296,0.003860296
97,11/6/2011,0.026828713,7,0.003832673,0.003832673
98,11/13/2011,0.029658796,7,0.004236971,0.004236971
99,11/20/2011,0.037362337,7,0.005337477,0.005337477
100,11/27/2011,0.024888043,7,0.003555435,0.003555435
101,12/4/2011,0.017248319,7,0.002464046,0.002464046
102,12/11/2011,0.021985462,7,0.00314078,0.00314078
103,12/18/2011,0.016963258,7,0.002423323,0.002423323
104,12/25/2011,0.029283081,7,0.004183297,0.004183297
105,1/1/2012,0.02560566,7,0.003657951,0.003657951
106,1/8/2012,0.017457499,7,0.002493928,0.002493928
107,1/15/2012,0.022312215,7,0.003187459,0.003187459
108,1/22/2012,0.030955071,7,0.004422153,0.004422153
109,1/29/2012,0.02360625,7,0.003372321,0.003372321
110,2/5/2012,0.029729337,7,0.004247048,0.004247048
111,2/12/2012,0.025470055,7,0.003638579,0.003638579
112,2/19/2012,0.02597112,7,0.00371016,0.00371016
113,2/26/2012,0.021326586,7,0.003046655,0.003046655
114,3/4/2012,0.022335172,7,0.003190739,0.003190739
115,3/11/2012,0.031980627,7,0.004568661,0.004568661
116,3/18/2012,0.026823215,7,0.003831888,0.003831888
117,3/25/2012,0.034480913,7,0.004925845,0.004925845
118,4/1/2012,0.024362238,7,0.00348032,0.00348032
119,4/8/2012,0.030690441,7,0.004384349,0.004384349
120,4/15/2012,0.043743061,7,0.006249009,0.006249009
121,4/22/2012,0.047866172,7,0.006838025,0.006838025
122,4/29/2012,0.033146443,7,0.004735206,0.004735206
123,5/6/2012,0.031259479,7,0.00446564,0.00446564
124,5/13/2012,0.040239772,7,0.005748539,0.005748539
125,5/20/2012,0.036238419,7,0.005176917,0.005176917
126,5/27/2012,0.042406378,7,0.006058054,0.006058054
127,6/3/2012,0.036266346,7,0.005180907,0.005180907
128,6/10/2012,0.036951238,7,0.005278748,0.005278748
129,6/17/2012,0.039843537,7,0.005691934,0.005691934
130,6/24/2012,0.038870454,7,0.005552922,0.005552922
131,7/1/2012,0.051335131,7,0.00733359,0.00733359
132,7/8/2012,0.047738819,7,0.006819831,0.006819831
133,7/15/2012,0.044082461,7,0.006297494,0.006297494
134,7/22/2012,0.041553996,7,0.005936285,0.005936285
135,7/29/2012,0.032299112,7,0.004614159,0.004614159
136,8/5/2012,0.030577651,7,0.004368236,0.004368236
137,8/12/2012,0.035692718,7,0.00509896,0.00509896
138,8/19/2012,0.029056078,7,0.004150868,0.004150868
139,8/26/2012,0.024786692,7,0.003540956,0.003540956
140,9/2/2012,0.026548858,7,0.003792694,0.003792694
141,9/9/2012,0.028127317,7,0.004018188,0.004018188
142,9/16/2012,0.023673684,7,0.003381955,0.003381955
143,9/23/2012,0.027924727,7,0.003989247,0.003989247
144,9/30/2012,0.022619003,7,0.003231286,0.003231286
145,10/7/2012,0.033243286,7,0.004749041,0.004749041
146,10/14/2012,0.036193253,7,0.005170465,0.005170465
147,10/21/2012,0.031940473,7,0.004562925,0.004562925
148,10/28/2012,0.044687429,7,0.006383918,0.006383918
149,11/4/2012,0.03335946,7,0.004765637,0.004765637
150,11/11/2012,0.031596112,7,0.00451373,0.00451373
151,11/18/2012,0.039126306,7,0.005589472,0.005589472
152,11/25/2012,0.0391535,7,0.005593357,0.005593357
153,12/2/2012,0.037865461,7,0.005409352,0.005409352
154,12/9/2012,0.026143885,7,0.003734841,0.003734841
155,12/16/2012,0.026354893,7,0.003764985,0.003764985
156,12/23/2012,0.027062378,7,0.003866054,0.003866054
157,12/30/2012,0.019481025,7,0.002783004,0.002783004
158,1/6/2013,0.025091136,7,0.003584448,0.003584448
159,1/13/2013,0.015783322,7,0.00225476,0.00225476
160,1/20/2013,0.025216133,7,0.003602305,0.003602305
161,1/27/2013,0.023336734,7,0.003333819,0.003333819
162,2/3/2013,0.022298722,7,0.003185532,0.003185532
163,2/10/2013,0.022625501,7,0.003232214,0.003232214
164,2/17/2013,0.021476142,7,0.00306802,0.00306802
165,2/24/2013,0.024718109,7,0.003531158,0.003531158
166,3/3/2013,0.028662711,7,0.004094673,0.004094673
167,3/10/2013,0.031408459,7,0.004486923,0.004486923
168,3/17/2013,0.026157505,7,0.003736786,0.003736786
169,3/24/2013,0.03729074,7,0.005327249,0.005327249
170,3/31/2013,0.044329171,7,0.006332739,0.006332739
171,4/7/2013,0.033686211,7,0.004812316,0.004812316
172,4/14/2013,0.026175589,7,0.00373937,0.00373937
173,4/21/2013,0.031630949,7,0.004518707,0.004518707
174,4/28/2013,0.030608452,7,0.004372636,0.004372636
175,5/5/2013,0.050335879,7,0.00719084,0.00719084
176,5/12/2013,0.043529844,7,0.006218549,0.006218549
177,5/19/2013,0.029094516,7,0.004156359,0.004156359
178,5/26/2013,0.038170617,7,0.005452945,0.005452945
179,6/2/2013,0.045533908,7,0.006504844,0.006504844
180,6/9/2013,0.039849533,7,0.00569279,0.00569279
181,6/16/2013,0.034529227,7,0.004932747,0.004932747
182,6/23/2013,0.056092685,7,0.008013241,0.008013241
183,6/30/2013,0.063447559,7,0.009063937,0.009063937
184,7/7/2013,0.050571805,7,0.007224544,0.007224544
185,7/14/2013,0.044271085,7,0.006324441,0.006324441
186,7/21/2013,0.053390259,7,0.00762718,0.00762718
187,7/28/2013,0.037357671,7,0.00533681,0.00533681
188,8/4/2013,0.044547025,7,0.006363861,0.006363861
189,8/11/2013,0.044964282,7,0.006423469,0.006423469
190,8/18/2013,0.051461505,7,0.007351644,0.007351644
191,8/25/2013,0.049721934,7,0.007103133,0.007103133
192,9/1/2013,0.049958244,7,0.007136892,0.007136892
193,9/8/2013,0.042987897,7,0.006141128,0.006141128
194,9/15/2013,0.039678352,7,0.005668336,0.005668336
195,9/22/2013,0.039856938,7,0.005693848,0.005693848
196,9/29/2013,0.039638902,7,0.0056627,0.0056627
197,10/6/2013,0.026728073,7,0.003818296,0.003818296
198,10/13/2013,0.025891328,7,0.003698761,0.003698761
199,10/20/2013,0.024198677,7,0.003456954,0.003456954
200,10/27/2013,0.033430617,7,0.004775802,0.004775802
201,11/3/2013,0.0273289,7,0.003904129,0.003904129
202,11/10/2013,0.02822395,7,0.004031993,0.004031993
203,11/17/2013,0.028051769,7,0.004007396,0.004007396
204,11/24/2013,0.022809193,7,0.003258456,0.003258456
205,12/1/2013,0.021767181,7,0.003109597,0.003109597
206,12/8/2013,0.017671998,7,0.002524571,0.002524571
207,12/15/2013,0.022190954,7,0.003170136,0.003170136
208,12/22/2013,0.023758152,7,0.003394022,0.003394022
209,12/29/2013,0.02013991,7,0.00287713,0.00287713
210,1/5/2014,0.023341408,7,0.003334487,0.003334487
211,1/12/2014,0.019041734,7,0.002720248,0.002720248
212,1/19/2014,0.015914952,7,0.002273565,0.002273565
213,1/26/2014,0.026540889,7,0.003791556,0.003791556
214,2/2/2014,0.023097106,7,0.003299587,0.003299587
215,2/9/2014,0.043969567,7,0.006281367,0.006281367
216,2/16/2014,0.027106215,7,0.003872316,0.003872316
217,2/23/2014,0.033394202,7,0.0047706,0.0047706
218,3/2/2014,0.039066464,7,0.005580923,0.005580923
219,3/9/2014,0.027859034,7,0.003979862,0.003979862
220,3/16/2014,0.0212577,7,0.003036814,0.003036814
221,3/23/2014,0.030077434,7,0.004296776,0.004296776
222,3/30/2014,0.029339629,7,0.004191376,0.004191376
223,4/6/2014,0.037936568,7,0.00541951,0.00541951
224,4/13/2014,0.030429489,7,0.00434707,0.00434707
225,4/20/2014,0.029481583,7,0.004211655,0.004211655
226,4/27/2014,0.031749413,7,0.00453563,0.00453563
227,5/4/2014,0.032262352,7,0.004608907,0.004608907
228,5/11/2014,0.030194149,7,0.00431345,0.00431345
229,5/18/2014,0.039852499,7,0.005693214,0.005693214
230,5/25/2014,0.032554335,7,0.004650619,0.004650619
231,6/1/2014,0.034346716,7,0.004906674,0.004906674
232,6/8/2014,0.035753543,7,0.005107649,0.005107649
233,6/15/2014,0.029021477,7,0.004145925,0.004145925
234,6/22/2014,0.039056772,7,0.005579539,0.005579539
235,6/29/2014,0.032935707,7,0.004705101,0.004705101
236,7/6/2014,0.038845726,7,0.005549389,0.005549389
237,7/13/2014,0.048767231,7,0.006966747,0.006966747
238,7/20/2014,0.04059364,7,0.005799091,0.005799091
239,7/27/2014,0.034210986,7,0.004887284,0.004887284
240,8/3/2014,0.050186311,7,0.007169473,0.007169473
241,8/10/2014,0.045645479,7,0.006520783,0.006520783
242,8/17/2014,0.040524119,7,0.00578916,0.00578916
243,8/24/2014,0.035008202,7,0.005001172,0.005001172
244,8/31/2014,0.026584893,7,0.003797842,0.003797842
245,9/7/2014,0.026899004,7,0.003842715,0.003842715
246,9/14/2014,0.043169265,7,0.006167038,0.006167038
247,9/21/2014,0.055695019,7,0.007956431,0.007956431
248,9/28/2014,0.039165284,7,0.005595041,0.005595041
249,10/5/2014,0.025941405,7,0.003705915,0.003705915
250,10/12/2014,0.035820589,7,0.005117227,0.005117227
251,10/19/2014,0.048433962,7,0.006919137,0.006919137
252,10/26/2014,0.042073601,7,0.006010514,0.006010514
253,11/2/2014,0.03889257,7,0.005556081,0.005556081
254,11/9/2014,0.036821232,7,0.005260176,0.005260176
255,11/16/2014,0.027311305,7,0.003901615,0.003901615
256,11/23/2014,0.033784732,7,0.00482639,0.00482639
257,11/30/2014,0.047381477,7,0.006768782,0.006768782
258,12/7/2014,0.047066215,7,0.006723745,0.006723745
259,12/14/2014,0.034441388,7,0.004920198,0.004920198
260,12/21/2014,0.033921648,7,0.00484595,0.00484595
261,12/28/2014,0.018698993,7,0.002671285,0.002671285
262,1/4/2015,0.029715497,7,0.004245071,0.004245071
263,1/11/2015,0.034308202,7,0.004901172,0.004901172
264,1/18/2015,0.030323788,7,0.00433197,0.00433197
265,1/25/2015,0.03392592,7,0.00484656,0.00484656
266,2/1/2015,0.043553712,7,0.006221959,0.006221959
267,2/8/2015,0.036600681,7,0.005228669,0.005228669
268,2/15/2015,0.0308025,7,0.004400357,0.004400357
269,2/22/2015,0.023472977,7,0.003353282,0.003353282
270,3/1/2015,0.024722577,7,0.003531797,0.003531797
271,3/8/2015,0.036283694,7,0.005183385,0.005183385
272,3/15/2015,0.039961488,7,0.005708784,0.005708784
273,3/22/2015,0.039694833,7,0.00567069,0.00567069
274,3/29/2015,0.026000123,7,0.003714303,0.003714303
275,4/5/2015,0.030020659,7,0.004288666,0.004288666
276,4/12/2015,0.028682605,7,0.004097515,0.004097515
277,4/19/2015,0.0365731,7,0.005224729,0.005224729
278,4/26/2015,0.037026412,7,0.005289487,0.005289487
279,5/3/2015,0.03280857,7,0.004686939,0.004686939
280,5/10/2015,0.03640987,7,0.00520141,0.00520141
281,5/17/2015,0.045628495,7,0.006518356,0.006518356
282,5/24/2015,0.050520994,7,0.007217285,0.007217285
283,5/31/2015,0.04721723,7,0.006745319,0.006745319
284,6/7/2015,0.054687862,7,0.007812552,0.007812552
285,6/14/2015,0.038387028,7,0.005483861,0.005483861
286,6/21/2015,0.045164976,7,0.006452139,0.006452139
287,6/28/2015,0.057058688,7,0.008151241,0.008151241
288,7/5/2015,0.062203682,7,0.00888624,0.00888624
289,7/12/2015,0.047676669,7,0.006810953,0.006810953
290,7/19/2015,0.044750503,7,0.006392929,0.006392929
291,7/26/2015,0.034801796,7,0.004971685,0.004971685
292,8/2/2015,0.04700005,7,0.006714293,0.006714293
293,8/9/2015,0.03424191,7,0.004891701,0.004891701
294,8/16/2015,0.029391668,7,0.00419881,0.00419881
295,8/23/2015,0.042161993,7,0.006023142,0.006023142
296,8/30/2015,0.038073673,7,0.005439096,0.005439096
297,9/6/2015,0.025937142,7,0.003705306,0.003705306
298,9/13/2015,0.04326231,7,0.00618033,0.00618033
299,9/20/2015,0.035450144,7,0.005064306,0.005064306
300,9/27/2015,0.039200965,7,0.005600138,0.005600138
301,10/4/2015,0.03788057,7,0.00541151,0.00541151
302,10/11/2015,0.040205319,7,0.005743617,0.005743617
303,10/18/2015,0.038166325,7,0.005452332,0.005452332
304,10/25/2015,0.03604227,7,0.005148896,0.005148896
305,11/1/2015,0.030213233,7,0.004316176,0.004316176
306,11/8/2015,0.028053171,7,0.004007596,0.004007596
307,11/15/2015,0.031643015,7,0.004520431,0.004520431
308,11/22/2015,0.023934264,7,0.003419181,0.003419181
309,11/29/2015,0.024766074,7,0.003538011,0.003538011
310,12/6/2015,0.039933022,7,0.005704717,0.005704717
311,12/13/2015,0.02740168,7,0.003914526,0.003914526
312,12/20/2015,0.026109642,7,0.003729949,0.003729949
313,12/27/2015,0.018810203,7,0.002687172,0.002687172
314,1/3/2016,0.028707164,7,0.004101023,0.004101023
315,1/10/2016,0.029773711,7,0.004253387,0.004253387
316,1/17/2016,0.037741499,7,0.005391643,0.005391643
317,1/24/2016,0.032845122,7,0.00469216,0.00469216
318,1/31/2016,0.023209462,7,0.003315637,0.003315637
319,2/7/2016,0.031233158,7,0.00446188,0.00446188
320,2/14/2016,0.035349611,7,0.005049944,0.005049944
321,2/21/2016,0.028287674,7,0.004041096,0.004041096
322,2/28/2016,0.040889758,7,0.005841394,0.005841394
323,3/6/2016,0.034568247,7,0.004938321,0.004938321
324,3/13/2016,0.0316704,7,0.004524343,0.004524343
325,3/20/2016,0.031541824,7,0.004505975,0.004505975
326,3/27/2016,0.033755415,7,0.004822202,0.004822202
327,4/3/2016,0.042940655,7,0.006134379,0.006134379
328,4/10/2016,0.040456301,7,0.005779472,0.005779472
329,4/17/2016,0.0418106,7,0.005972943,0.005972943
330,4/24/2016,0.030426713,7,0.004346673,0.004346673
331,5/1/2016,0.047370403,7,0.0067672,0.0067672
332,5/8/2016,0.047867254,7,0.006838179,0.006838179
333,5/15/2016,0.040945449,7,0.00584935,0.00584935
334,5/22/2016,0.041017839,7,0.005859691,0.005859691
335,5/29/2016,0.050955959,7,0.007279423,0.007279423
336,6/5/2016,0.057758256,7,0.008251179,0.008251179
337,6/12/2016,0.039311975,7,0.005615996,0.005615996
338,6/19/2016,0.04701015,7,0.006715736,0.006715736
339,6/26/2016,0.058371839,7,0.008338834,0.008338834
340,7/3/2016,0.054449012,7,0.00777843,0.00777843
341,7/10/2016,0.045825406,7,0.006546487,0.006546487
342,7/17/2016,0.043022458,7,0.006146065,0.006146065
343,7/24/2016,0.05142051,7,0.007345787,0.007345787
344,7/31/2016,0.04831347,7,0.006901924,0.006901924
345,8/7/2016,0.045605378,7,0.006515054,0.006515054
346,8/14/2016,0.04952234,7,0.00707462,0.00707462
347,8/21/2016,0.034764034,7,0.004966291,0.004966291
348,8/28/2016,0.036866071,7,0.005266582,0.005266582
349,9/4/2016,0.031790256,7,0.004541465,0.004541465
350,9/11/2016,0.028595731,7,0.004085104,0.004085104
351,9/18/2016,0.03702193,7,0.005288847,0.005288847
352,9/25/2016,0.030770361,7,0.004395766,0.004395766
353,10/2/2016,0.036424958,7,0.005203565,0.005203565
354,10/9/2016,0.041144129,7,0.005877733,0.005877733
355,10/16/2016,0.043522015,7,0.006217431,0.006217431
356,10/23/2016,0.052705007,7,0.007529287,0.007529287
