Week #,Starting Date,Total Value,Num Datapoints,Average Value,Average Value /7
1,1/3/2010,0.8510729878,7,0.1215818554,0.1215818554
2,1/10/2010,0.872980667,7,0.1247115239,0.1247115239
3,1/17/2010,-0.01378554913,7,-0.001969364162,-0.001969364162
4,1/24/2010,0.4559069666,7,0.06512956666,0.06512956666
5,1/31/2010,0.6218669712,7,0.08883813874,0.08883813874
6,2/7/2010,1.046185618,7,0.1494550883,0.1494550883
7,2/14/2010,3.038776311,7,0.4341109015,0.4341109015
8,2/21/2010,1.480383265,7,0.2114833235,0.2114833235
9,2/28/2010,1.30138209,7,0.1859117271,0.1859117271
10,3/7/2010,2.038996978,7,0.2912852825,0.2912852825
11,3/14/2010,3.118523891,7,0.4455034131,0.4455034131
12,3/21/2010,2.537960018,7,0.3625657169,0.3625657169
13,3/28/2010,0.6508886754,7,0.09298409649,0.09298409649
14,4/4/2010,1.816840266,7,0.2595486094,0.2595486094
15,4/11/2010,1.468290402,7,0.2097557716,0.2097557716
16,4/18/2010,2.52265149,7,0.3603787843,0.3603787843
17,4/25/2010,2.306959943,7,0.3295657062,0.3295657062
18,5/2/2010,3.649532931,7,0.5213618473,0.5213618473
19,5/9/2010,2.687247498,7,0.3838924998,0.3838924998
20,5/16/2010,1.471624708,7,0.2102321011,0.2102321011
21,5/23/2010,1.769911591,7,0.252844513,0.252844513
22,5/30/2010,1.192823206,7,0.1704033152,0.1704033152
23,6/6/2010,3.338678051,7,0.4769540073,0.4769540073
24,6/13/2010,4.165647738,7,0.595092534,0.595092534
25,6/20/2010,3.853724275,7,0.5505320393,0.5505320393
26,6/27/2010,4.538557178,7,0.6483653112,0.6483653112
27,7/4/2010,4.160585006,7,0.5943692866,0.5943692866
28,7/11/2010,4.532316126,7,0.6474737323,0.6474737323
29,7/18/2010,4.507997064,7,0.6439995806,0.6439995806
30,7/25/2010,4.35101234,7,0.6215731915,0.6215731915
31,8/1/2010,4.439341732,7,0.634191676,0.634191676
32,8/8/2010,4.018071486,7,0.5740102123,0.5740102123
33,8/15/2010,4.231871087,7,0.6045530124,0.6045530124
34,8/22/2010,3.639760241,7,0.5199657488,0.5199657488
35,8/29/2010,4.076238768,7,0.582319824,0.582319824
36,9/5/2010,3.465313775,7,0.495044825,0.495044825
37,9/12/2010,3.083307152,7,0.4404724503,0.4404724503
38,9/19/2010,3.752645514,7,0.5360922163,0.5360922163
39,9/26/2010,4.404461926,7,0.6292088466,0.6292088466
40,10/3/2010,2.279935499,7,0.3257050712,0.3257050712
41,10/10/2010,3.690964594,7,0.5272806563,0.5272806563
42,10/17/2010,2.339373567,7,0.3341962239,0.3341962239
43,10/24/2010,0.9813419261,6,0.1635569877,0.1401917037
44,10/31/2010,2.841426794,7,0.4059181134,0.4059181134
45,11/7/2010,2.507362693,7,0.3581946705,0.3581946705
46,11/14/2010,1.981653096,7,0.2830932994,0.2830932994
47,11/21/2010,1.86651193,7,0.2666445614,0.2666445614
48,11/28/2010,0.9551780803,7,0.1364540115,0.1364540115
49,12/5/2010,0.4276351884,7,0.0610907412,0.0610907412
50,12/12/2010,1.586372768,7,0.2266246812,0.2266246812
51,12/19/2010,0.3923074984,7,0.05604392834,0.05604392834
52,12/26/2010,1.170145186,7,0.167163598,0.167163598
53,1/2/2011,2.902456437,7,0.4146366339,0.4146366339
54,1/9/2011,1.512090543,7,0.2160129348,0.2160129348
55,1/16/2011,3.280275557,7,0.4686107939,0.4686107939
56,1/23/2011,2.743138019,7,0.3918768599,0.3918768599
57,1/30/2011,3.222753868,7,0.4603934098,0.4603934098
58,2/6/2011,3.778702829,7,0.5398146899,0.5398146899
59,2/13/2011,0.6851875812,7,0.09788394018,0.09788394018
60,2/20/2011,1.378754354,7,0.1969649077,0.1969649077
61,2/27/2011,1.044430716,7,0.149204388,0.149204388
62,3/6/2011,0.6430134538,7,0.09185906482,0.09185906482
63,3/13/2011,0.5818679344,7,0.08312399063,0.08312399063
64,3/20/2011,0.3141801839,7,0.04488288341,0.04488288341
65,3/27/2011,2.220658992,7,0.3172369989,0.3172369989
66,4/3/2011,2.080238388,7,0.2971769125,0.2971769125
67,4/10/2011,1.22161079,7,0.1745158271,0.1745158271
68,4/17/2011,1.325868913,7,0.1894098447,0.1894098447
69,4/24/2011,2.731419011,7,0.3902027158,0.3902027158
70,5/1/2011,3.292422981,7,0.4703461402,0.4703461402
71,5/8/2011,2.615191624,7,0.3735988035,0.3735988035
72,5/15/2011,2.11867173,7,0.30266739,0.30266739
73,5/22/2011,1.508239322,7,0.2154627603,0.2154627603
74,5/29/2011,1.17986482,7,0.1685521171,0.1685521171
75,6/5/2011,2.625303775,7,0.3750433964,0.3750433964
