Week #,Starting Date,Total Value,Num Datapoints,Average Value
1,1/3/2010,4.74065601,7,0.6772365728
2,1/10/2010,75.66510348,7,10.8093005
3,1/17/2010,204.1370454,7,29.16243506
4,1/24/2010,72.95845996,7,10.42263714
5,1/31/2010,88.6536766,7,12.66481094
6,2/7/2010,25.89399234,7,3.699141763
7,2/14/2010,6.170393623,7,0.8814848032
8,2/21/2010,76.84086847,7,10.97726692
9,2/28/2010,36.42136755,7,5.203052508
10,3/7/2010,31.18158876,7,4.45451268
11,3/14/2010,0.8431866258,7,0.1204552323
12,3/21/2010,11.8084197,7,1.6869171
13,3/28/2010,51.85849493,7,7.408356419
14,4/4/2010,29.44354242,7,4.206220345
15,4/11/2010,68.45335194,7,9.779050277
16,4/18/2010,30.48781253,7,4.35540179
17,4/25/2010,37.37201435,7,5.338859193
18,5/2/2010,3.420562354,7,0.4886517649
19,5/9/2010,25.78332744,7,3.683332491
20,5/16/2010,21.01309804,7,3.001871149
21,5/23/2010,33.12978656,7,4.732826652
22,5/30/2010,28.21177704,7,4.030253862
23,6/6/2010,0.3676356581,7,0.05251937973
24,6/13/2010,1.044846378,7,0.1492637683
25,6/20/2010,0.09405609215,7,0.01343658459
26,6/27/2010,0,7,0
27,7/4/2010,1.15367202,7,0.1648102886
28,7/11/2010,0,7,0
29,7/18/2010,0,7,0
30,7/25/2010,0.001891442991,7,0.0002702061415
31,8/1/2010,0,7,0
32,8/8/2010,0.0368622791,7,0.005266039871
33,8/15/2010,0,7,0
34,8/22/2010,9.459853401,7,1.351407629
35,8/29/2010,0.03863241028,7,0.005518915754
36,9/5/2010,11.46032453,7,1.637189219
37,9/12/2010,3.630609179,7,0.5186584542
38,9/19/2010,4.423515172,7,0.6319307389
39,9/26/2010,0.3382947988,7,0.0483278284
40,10/3/2010,3.899572364,7,0.5570817663
41,10/10/2010,0,7,0
42,10/17/2010,80.23163201,7,11.46166172
43,10/24/2010,92.11893659,7,13.15984808
44,10/31/2010,18.09455978,7,2.584937111
45,11/7/2010,33.10249,7,4.728927143
46,11/14/2010,33.79811004,7,4.828301435
47,11/21/2010,39.1940751,7,5.599153585
48,11/28/2010,31.57724673,7,4.511035248
49,12/5/2010,85.60606449,7,12.22943778
50,12/12/2010,63.09578652,7,9.013683789
51,12/19/2010,97.9589086,7,13.9941298
52,12/26/2010,62.3004752,7,8.900067886
53,1/2/2011,0.6969338964,7,0.0995619852
54,1/9/2011,27.97234255,7,3.996048936
55,1/16/2011,0.04608501265,7,0.006583573235
56,1/23/2011,8.783104951,7,1.254729279
57,1/30/2011,1.105799634,7,0.1579713763
58,2/6/2011,0,7,0
59,2/13/2011,127.0294748,7,18.14706782
60,2/20/2011,32.4997998,7,4.642828543
61,2/27/2011,49.31825632,7,7.045465189
62,3/6/2011,22.98455392,7,3.283507703
63,3/13/2011,161.2891554,7,23.04130791
64,3/20/2011,142.6628647,7,20.38040924
65,3/27/2011,9.469435701,7,1.352776529
66,4/3/2011,0.6376840268,7,0.09109771811
