Week#,Starting Date,Total Value,Num Datapoints,Average Value
1,1/3/2010,77.38849418,7,11.05549917
2,1/10/2010,69.68776474,7,9.955394962
3,1/17/2010,30.53969652,7,4.362813789
4,1/24/2010,52.47088911,7,7.495841301
5,1/31/2010,53.20719815,7,7.601028307
6,2/7/2010,65.33313207,7,9.333304582
7,2/14/2010,106.4390584,7,15.20557977
8,2/21/2010,65.27251119,7,9.324644456
9,2/28/2010,74.55185391,7,10.65026484
10,3/7/2010,66.47807536,7,9.496867908
11,3/14/2010,133.0417142,7,19.00595918
12,3/21/2010,106.808106,7,15.25830085
13,3/28/2010,61.55697021,7,8.793852887
14,4/4/2010,90.21300842,7,12.88757263
15,4/11/2010,88.67672521,7,12.6681036
16,4/18/2010,121.789581,7,17.39851157
17,4/25/2010,112.8274167,7,16.11820239
18,5/2/2010,133.0762392,7,19.01089132
19,5/9/2010,133.6860795,7,19.09801136
20,5/16/2010,105.7579561,7,15.10827944
21,5/23/2010,103.2279362,7,14.74684803
22,5/30/2010,145.3905522,7,20.77007889
23,6/6/2010,167.7251467,7,23.96073524
24,6/13/2010,178.3060805,7,25.47229721
25,6/20/2010,197.6728577,7,28.23897968
26,6/27/2010,212.2440269,7,30.32057526
27,7/4/2010,235.1586338,7,33.59409054
28,7/11/2010,238.9005124,7,34.12864462
29,7/18/2010,244.2361527,7,34.89087896
30,7/25/2010,221.834111,7,31.69058728
31,8/1/2010,228.7053889,7,32.67219841
32,8/8/2010,209.7982716,7,29.97118165
33,8/15/2010,221.4262591,7,31.63232273
34,8/22/2010,213.1424906,7,30.44892724
35,8/29/2010,201.0530894,7,28.72186992
36,9/5/2010,174.7211059,7,24.96015798
37,9/12/2010,188.4804663,7,26.9257809
38,9/19/2010,170.6095668,7,24.37279526
39,9/26/2010,232.5583943,7,33.22262776
40,10/3/2010,141.1020439,7,20.15743485
41,10/10/2010,185.7619034,7,26.53741478
42,10/17/2010,129.8073383,7,18.54390548
43,10/24/2010,79.85638026,7,11.40805432
44,10/31/2010,141.6484016,7,20.23548594
45,11/7/2010,82.23662525,7,11.74808932
46,11/14/2010,91.57679345,7,13.08239906
47,11/21/2010,36.37721135,7,5.196744478
48,11/28/2010,47.18111053,7,6.740158647
49,12/5/2010,69.05761765,7,9.86537395
