Week#,Starting Date,Total Value,Num Datapoints,Average Value
1,1/3/2010,23.59605061,7,3.370864372
2,1/10/2010,17.97531703,7,2.567902433
3,1/17/2010,5.188153651,7,0.7411648073
4,1/24/2010,5.954290375,7,0.8506129108
5,1/31/2010,9.613950763,7,1.373421538
6,2/7/2010,7.674993758,7,1.09642768
7,2/14/2010,19.45233224,7,2.778904606
8,2/21/2010,-0.02701673706,7,-0.003859533865
9,2/28/2010,4.497651748,7,0.6425216782
10,3/7/2010,-17.14774966,7,-2.449678522
11,3/14/2010,21.28528615,7,3.040755164
12,3/21/2010,7.89116412,7,1.12730916
13,3/28/2010,1.618741274,7,0.2312487535
14,4/4/2010,4.806765223,7,0.6866807461
15,4/11/2010,16.4981853,7,2.356883614
16,4/18/2010,26.72684248,7,3.818120355
17,4/25/2010,16.16589119,7,2.309413026
18,5/2/2010,23.86254944,7,3.408935634
19,5/9/2010,38.48808742,7,5.498298203
20,5/16/2010,25.28768078,7,3.612525825
21,5/23/2010,25.74555762,7,3.677936803
22,5/30/2010,78.93427175,7,11.27632454
23,6/6/2010,68.32706692,7,9.76100956
24,6/13/2010,64.37766698,7,9.196809568
25,6/20/2010,88.2365755,7,12.60522507
26,6/27/2010,90.86699385,7,12.98099912
27,7/4/2010,110.3252966,7,15.76075666
28,7/11/2010,115.8599242,7,16.55141774
29,7/18/2010,114.8368938,7,16.40527054
30,7/25/2010,98.46353144,7,14.06621878
31,8/1/2010,102.4986279,7,14.64266113
32,8/8/2010,93.85064674,7,13.40723525
33,8/15/2010,94.75668415,7,13.53666916
34,8/22/2010,94.96463328,7,13.56637618
35,8/29/2010,83.8738061,7,11.9819723
36,9/5/2010,66.63470862,7,9.519244089
37,9/12/2010,77.6459045,7,11.09227207
38,9/19/2010,61.01658935,7,8.716655621
39,9/26/2010,98.56327071,7,14.08046724
40,10/3/2010,60.86137113,7,8.69448159
41,10/10/2010,74.16893363,7,10.59556195
42,10/17/2010,51.51737602,7,7.359625146
43,10/24/2010,22.13239173,7,3.161770247
44,10/31/2010,58.692868,7,8.384695428
45,11/7/2010,10.63654546,7,1.519506494
46,11/14/2010,25.39918801,7,3.62845543
47,11/21/2010,-23.50436761,7,-3.357766801
48,11/28/2010,0.7120381269,7,0.1017197324
49,12/5/2010,33.43662617,7,4.776660882
50,12/12/2010,5.618046417,7,0.8025780596
51,12/19/2010,7.827980939,7,1.118282991
52,12/26/2010,-15.95213324,7,-2.278876177
53,1/2/2011,-15.81003466,7,-2.258576381
54,1/9/2011,0.1525171923,7,0.02178817032
55,1/16/2011,26.71246537,7,3.816066482
56,1/23/2011,17.39193839,7,2.484562628
57,1/30/2011,10.87207528,7,1.553153611
58,2/6/2011,6.445671259,7,0.9208101798
59,2/13/2011,-8.761045991,7,-1.251577999
60,2/20/2011,-28.94666668,7,-4.135238097
61,2/27/2011,-0.859398283,7,-0.1227711833
62,3/6/2011,17.09326825,7,2.441895464
63,3/13/2011,5.121927848,7,0.7317039783
64,3/20/2011,1.223734456,7,0.174819208
65,3/27/2011,23.08419312,7,3.297741874
66,4/3/2011,4.865682761,7,0.6950975372
67,4/10/2011,21.66904026,7,3.095577181
68,4/17/2011,26.62028454,7,3.802897791
69,4/24/2011,11.52135069,7,1.645907242
70,5/1/2011,46.42846677,7,6.632638111
71,5/8/2011,34.94959304,7,4.992799005
72,5/15/2011,29.72959981,7,4.247085687
73,5/22/2011,28.70849194,7,4.101213134
74,5/29/2011,26.10688349,7,3.729554784
75,6/5/2011,63.34456185,7,9.049223121
76,6/12/2011,81.19415387,7,11.59916484
77,6/19/2011,95.10827856,7,13.58689694
78,6/26/2011,82.38484746,7,11.76926392
79,7/3/2011,110.1168262,7,15.73097517
80,7/10/2011,82.47987962,7,11.78283995
81,7/17/2011,90.24879312,7,12.89268473
82,7/24/2011,104.4452497,7,14.92074996
83,7/31/2011,100.3098097,7,14.32997281
84,8/7/2011,102.5616527,7,14.65166467
85,8/14/2011,98.86136383,7,14.12305198
86,8/21/2011,99.0308323,7,14.14726176
87,8/28/2011,95.06332563,7,13.58047509
88,9/4/2011,104.8315961,7,14.97594229
89,9/11/2011,83.6325138,7,11.94750197
90,9/18/2011,93.46898625,7,13.35271232
91,9/25/2011,71.32113565,7,10.18873366
92,10/2/2011,35.93459835,7,5.13351405
93,10/9/2011,60.72281987,7,8.674688553
94,10/16/2011,62.0390289,7,8.862718415
95,10/23/2011,33.96358388,7,4.851940554
96,10/30/2011,14.19306323,7,2.027580461
97,11/6/2011,3.463564996,7,0.4947949994
98,11/13/2011,6.630642304,7,0.9472346149
99,11/20/2011,16.41020555,7,2.344315079
100,11/27/2011,12.16378559,7,1.737683655
101,12/4/2011,-4.604800456,7,-0.6578286365
102,12/11/2011,-10.71140485,7,-1.530200692
103,12/18/2011,-3.63785667,7,-0.5196938099
104,12/25/2011,3.462409789,7,0.4946299699
105,1/1/2012,9.85287592,7,1.407553703
106,1/8/2012,-0.7238910274,7,-0.1034130039
107,1/15/2012,-23.28090875,7,-3.325844107
108,1/22/2012,4.416006991,7,0.6308581415
109,1/29/2012,3.383686557,7,0.4833837938
110,2/5/2012,14.3314299,7,2.047347128
111,2/12/2012,-5.293881917,7,-0.7562688453
112,2/19/2012,6.294219605,7,0.8991742293
113,2/26/2012,-15.00876748,7,-2.144109639
114,3/4/2012,4.194811239,7,0.5992587484
115,3/11/2012,9.682748845,7,1.383249835
116,3/18/2012,-2.703169291,7,-0.3861670416
117,3/25/2012,15.49318866,7,2.213312666
118,4/1/2012,-7.054056455,7,-1.007722351
119,4/8/2012,15.92021965,7,2.274317093
120,4/15/2012,52.4287934,7,7.489827628
121,4/22/2012,49.7036981,7,7.100528299
122,4/29/2012,35.17351196,7,5.024787422
123,5/6/2012,61.33138828,7,8.761626897
124,5/13/2012,61.20867523,7,8.744096462
125,5/20/2012,45.36048754,7,6.480069648
126,5/27/2012,74.12994991,7,10.58999284
127,6/3/2012,41.78437163,7,5.969195947
128,6/10/2012,97.14634062,7,13.87804866
129,6/17/2012,76.02072783,7,10.86010398
130,6/24/2012,62.41408565,7,8.91629795
131,7/1/2012,94.47056794,7,13.49579542
132,7/8/2012,111.4774472,7,15.9253496
133,7/15/2012,84.58489485,7,12.08355641
134,7/22/2012,100.9222805,7,14.41746864
