Week #,Starting Date,Total Value,Num Datapoints,Average Value
1,1/3/2010,50.48881534,7,7.212687906
2,1/10/2010,43.82808511,7,6.261155016
3,1/17/2010,17.86185487,7,2.551693552
4,1/24/2010,29.20962325,7,4.172803321
5,1/31/2010,31.40745247,7,4.486778924
6,2/7/2010,36.50091736,7,5.214416766
7,2/14/2010,62.94216805,7,8.991738293
8,2/21/2010,32.61973502,7,4.659962146
9,2/28/2010,39.52182216,7,5.645974594
10,3/7/2010,24.66322277,7,3.523317539
11,3/14/2010,77.15999928,7,11.02285704
12,3/21/2010,57.34632319,7,8.192331884
13,3/28/2010,31.58544934,7,4.512207049
14,4/4/2010,47.50688795,7,6.786698278
15,4/11/2010,52.58401851,7,7.512002645
16,4/18/2010,74.25480166,7,10.60782881
17,4/25/2010,64.49335576,7,9.213336537
18,5/2/2010,78.46598982,7,11.20942712
19,5/9/2010,86.08362035,7,12.29766005
20,5/16/2010,65.51957981,7,9.359939973
21,5/23/2010,64.48334727,7,9.211906754
22,5/30/2010,112.1589034,7,16.02270048
23,6/6/2010,118.0226585,7,16.86037979
24,6/13/2010,121.3383398,7,17.33404854
25,6/20/2010,142.9512756,7,20.4216108
26,6/27/2010,151.5520655,7,21.65029507
27,7/4/2010,172.7384934,7,24.67692762
28,7/11/2010,177.3767885,7,25.33954121
29,7/18/2010,179.5329829,7,25.64756899
30,7/25/2010,160.1453476,7,22.87790679
31,8/1/2010,165.5984964,7,23.65692805
32,8/8/2010,151.8209714,7,21.6887102
33,8/15/2010,158.0880141,7,22.58400201
34,8/22/2010,154.0500424,7,22.00714891
35,8/29/2010,142.4599114,7,20.35141592
36,9/5/2010,120.6744146,7,17.23920209
37,9/12/2010,133.0596735,7,19.00852478
38,9/19/2010,115.8095348,7,16.54421925
39,9/26/2010,165.5573769,7,23.65105385
40,10/3/2010,100.9782189,7,14.42545984
41,10/10/2010,129.9619417,7,18.56599167
42,10/17/2010,90.65887057,7,12.95126722
43,10/24/2010,50.99099443,7,7.284427776
44,10/31/2010,100.1671506,7,14.30959294
45,11/7/2010,46.43352468,7,6.633360668
46,11/14/2010,58.48493038,7,8.354990055
47,11/21/2010,6.435736087,7,0.9193908696
48,11/28/2010,23.9439658,7,3.420566543
49,12/5/2010,51.24365924,7,7.320522748
50,12/12/2010,31.71536232,7,4.530766046
51,12/19/2010,25.71547815,7,3.673639736
52,12/26/2010,6.515584054,7,0.9307977219
53,1/2/2011,23.48353781,7,3.354791116
54,1/9/2011,28.29857513,7,4.042653591
55,1/16/2011,68.88758262,7,9.841083232
56,1/23/2011,62.28776957,7,8.898252795
57,1/30/2011,54.75925436,7,7.822750622
58,2/6/2011,55.40958292,7,7.915654703
