Week,Starting Date,Total Value,Num Datapoints,Average Value
1,40181,0,7,0
2,40188,0,7,0
3,40195,0,7,0
4,40202,0,7,0
5,40209,0,7,0
6,40216,0,7,0
7,40223,0,7,0
8,40230,0,7,0
9,40237,0,7,0
10,40244,0,7,0
11,40251,8,7,1.142857143
12,40258,0,7,0
13,40265,0,7,0
14,40272,0,7,0
15,40279,0,7,0
16,40286,0,7,0
17,40293,0,7,0
18,40300,0,7,0
19,40307,0,7,0
20,40314,0,7,0
21,40321,0,7,0
22,40328,0,7,0
23,40335,0,7,0
24,40342,0,7,0
25,40349,0,7,0
26,40356,0,7,0
27,40363,0,7,0
28,40370,0,7,0
29,40377,0,7,0
30,40384,0,7,0
31,40391,0,7,0
32,40398,0,7,0
33,40405,0,7,0
34,40412,0,7,0
35,40419,0,7,0
36,40426,0,7,0
37,40433,0,7,0
38,40440,0,7,0
39,40447,0,7,0
40,40454,0,7,0
41,40461,0,7,0
42,40468,0,7,0
43,40475,0,7,0
44,40482,0,7,0
45,40489,0,7,0
46,40496,8,7,1.142857143
47,40503,0,7,0
48,40510,0,7,0
49,40517,0,7,0
50,40524,0,7,0
51,40531,0,7,0
52,40538,0,7,0
53,40545,0,7,0
54,40552,0,7,0
55,40559,8,7,1.142857143
56,40566,0,7,0
57,40573,0,7,0
58,40580,8,7,1.142857143
59,40587,0,7,0
60,40594,0,7,0
61,40601,0,7,0
62,40608,0,7,0
63,40615,0,7,0
64,40622,0,7,0
65,40629,0,7,0
66,40636,0,7,0
67,40643,0,7,0
68,40650,0,7,0
69,40657,0,7,0
70,40664,0,7,0
71,40671,8,7,1.142857143
72,40678,0,7,0
73,40685,0,7,0
74,40692,0,7,0
75,40699,0,7,0
76,40706,0,7,0
77,40713,0,7,0
78,40720,0,7,0
79,40727,0,7,0
80,40734,0,7,0
81,40741,0,7,0
82,40748,0,7,0
83,40755,0,7,0
84,40762,0,7,0
85,40769,0,7,0
86,40776,0,7,0
87,40783,0,7,0
88,40790,0,7,0
89,40797,0,7,0
90,40804,0,7,0
91,40811,0,7,0
92,40818,0,7,0
93,40825,0,7,0
94,40832,8,7,1.142857143
95,40839,0,7,0
96,40846,8,7,1.142857143
97,40853,0,7,0
98,40860,0,7,0
99,40867,0,7,0
100,40874,0,7,0
101,40881,0,7,0
102,40888,0,7,0
103,40895,0,7,0
104,40902,8,7,1.142857143
105,40909,0,7,0
106,40916,0,7,0
107,40923,0,7,0
108,40930,0,7,0
109,40937,0,7,0
110,40944,0,7,0
111,40951,0,7,0
112,40958,0,7,0
113,40965,0,7,0
114,40972,0,7,0
115,40979,0,7,0
116,40986,0,7,0
117,40993,0,7,0
118,41000,0,7,0
119,41007,0,7,0
120,41014,0,7,0
121,41021,8,7,1.142857143
122,41028,0,7,0
123,41035,0,7,0
124,41042,0,7,0
125,41049,0,7,0
126,41056,8,7,1.142857143
127,41063,0,7,0
128,41070,0,7,0
129,41077,0,7,0
130,41084,0,7,0
131,41091,8.526315789,7,1.218045113
132,41098,0,7,0
133,41105,0,7,0
134,41112,0,7,0
135,41119,8.591836735,7,1.227405248
136,41126,0,7,0
137,41133,0,7,0
138,41140,25.59916921,7,3.657024173
139,41147,0,7,0
140,41154,0,7,0
141,41161,24.48845531,7,3.498350759
142,41168,8,7,1.142857143
143,41175,0,7,0
