Week,Starting Date,Total Value,Num Datapoints,Average Value
1,40179,638.7593434,7,91.25133478
2,40186,686.6549678,7,98.09356683
3,40193,664.9654022,7,94.99505746
4,40200,660.0140477,7,94.2877211
5,40207,663.1056607,7,94.7293801
6,40214,668.5700899,7,95.51001284
7,40221,638.3125315,7,91.1875045
8,40228,644.1433399,7,92.02047713
9,40235,644.2376089,7,92.03394412
10,40242,577.7546398,7,82.53637711
11,40249,555.720386,7,79.38862658
12,40256,534.3261932,7,76.33231332
13,40263,580.3918281,7,82.91311831
14,40270,610.6081516,7,87.22973594
15,40277,574.8651314,7,82.12359021
16,40284,588.0259818,7,84.00371169
17,40291,539.329792,7,77.04711315
18,40298,440.6311197,7,62.94730282
19,40305,497.9611595,7,71.1373085
20,40312,547.0462592,7,78.1494656
21,40319,525.5645733,7,75.08065333
22,40326,491.7505819,7,70.25008313
23,40333,526.385543,7,75.19793471
24,40340,367.0258586,7,52.43226552
25,40347,396.4512667,7,56.63589525
26,40354,371.7380333,7,53.10543332
27,40361,374.9847633,7,53.5692519
28,40368,409.4796783,7,58.4970969
29,40375,360.7115942,7,51.53022775
30,40382,445.8894473,7,63.69849248
31,40389,405.6797116,7,57.95424451
32,40396,494.7458744,7,70.67798206
33,40403,441.1311658,7,63.01873798
34,40410,351.1010331,7,50.15729044
35,40417,484.1469752,7,69.16385359
36,40424,444.572325,7,63.51033215
37,40431,452.6287171,7,64.6612453
38,40438,625.2264045,7,89.31805779
39,40445,321.3347911,7,45.90497016
40,40452,460.0515952,7,65.72165646
41,40459,436.6871431,7,62.38387759
42,40466,449.4280682,7,64.20400974
43,40473,649.9929406,7,92.85613438
44,40480,640.0825435,7,91.44036336
45,40487,666.6723474,7,95.23890677
46,40494,543.9390399,7,77.70557713
47,40501,628.0472352,7,89.7210336
48,40508,623.7216684,7,89.10309549
49,40515,653.6082816,7,93.37261166
50,40522,667.8770156,7,95.41100223
51,40529,643.8945958,7,91.98494226
52,40536,629.0073363,7,89.8581909
53,40543,627.3868012,7,89.62668589
54,40550,605.3535414,7,86.47907734
55,40557,624.8948387,7,89.27069124
56,40564,556.4885045,7,79.49835778
57,40571,579.3537606,7,82.76482294
58,40578,536.9626541,7,76.70895059
59,40585,594.4101751,7,84.9157393
60,40592,630.7688825,7,90.10984036
61,40599,622.0246885,7,88.86066978
62,40606,646.2341182,7,92.31915974
63,40613,632.2125058,7,90.31607225
64,40620,624.8675584,7,89.26679405
65,40627,590.3522504,7,84.33603577
66,40634,552.7942485,7,78.97060692
67,40641,562.5294436,7,80.36134908
68,40648,637.5638263,7,91.08054662
69,40655,575.6353576,7,82.23362252
70,40662,484.5551748,7,69.22216782
71,40669,525.9692294,7,75.13846134
72,40676,572.3115287,7,81.75878982
73,40683,530.1536617,7,75.73623738
74,40690,539.1747397,7,77.02496282
75,40697,577.1233369,7,82.44619099
76,40704,460.5788727,7,65.79698181
77,40711,408.9730802,7,58.42472574
78,40718,486.0577933,7,69.43682761
79,40725,502.5475493,7,71.79250704
80,40732,533.5539107,7,76.22198724
81,40739,592.1275511,7,84.58965016
82,40746,461.5916564,7,65.9416652
83,40753,515.4458833,7,73.63512619
84,40760,578.3162577,7,82.61660825
85,40767,484.62042,7,69.23148857
86,40774,562.0349119,7,80.2907017
87,40781,465.0822841,7,66.4403263
88,40788,414.0211058,7,59.14587226
89,40795,515.3549907,7,73.62214153
90,40802,436.7427008,7,62.39181439
91,40809,509.5888599,7,72.79840855
92,40816,648.2099968,7,92.60142811
93,40823,667.8909013,7,95.41298591
94,40830,652.3567714,7,93.19382449
95,40837,535.2129262,7,76.45898946
96,40844,474.3956478,7,67.77080683
97,40851,618.7778103,7,88.39683004
98,40858,560.0201093,7,80.00287275
99,40865,683.2390863,7,97.60558376
100,40872,617.0988614,7,88.1569802
