Week,Starting Date,Total Value,Num Datapoints,Average Value
1,1/3/2010,432.2100236,7,61.74428909
2,1/10/2010,452.9706005,7,64.71008579
3,1/17/2010,594.4456732,7,84.92081045
4,1/24/2010,476.607191,7,68.08674157
5,1/31/2010,498.9455253,7,71.27793219
6,2/7/2010,420.0340406,7,60.00486295
7,2/14/2010,304.7212063,7,43.5316009
8,2/21/2010,396.3155197,7,56.61650282
9,2/28/2010,361.1268542,7,51.5895506
10,3/7/2010,309.9400787,7,44.27715411
11,3/14/2010,185.3245648,7,26.47493783
12,3/21/2010,249.7601821,7,35.68002602
13,3/28/2010,380.6760096,7,54.38228708
14,4/4/2010,282.6266435,7,40.37523479
15,4/11/2010,377.980709,7,53.99724414
16,4/18/2010,271.298303,7,38.75690042
17,4/25/2010,246.2282712,7,35.17546731
18,5/2/2010,171.2899506,7,24.46999295
19,5/9/2010,247.8953658,7,35.41362369
20,5/16/2010,312.9436813,7,44.70624018
21,5/23/2010,308.4952158,7,44.07074512
22,5/30/2010,337.6579657,7,48.23685224
23,6/6/2010,221.5129403,7,31.64470576
24,6/13/2010,161.4820427,7,23.06886324
25,6/20/2010,171.7988516,7,24.54269309
26,6/27/2010,139.5554966,7,19.93649951
27,7/4/2010,146.142302,7,20.87747172
28,7/11/2010,153.5955527,7,21.94222181
29,7/18/2010,134.774366,7,19.25348086
30,7/25/2010,161.7012008,7,23.10017155
31,8/1/2010,129.8084308,7,18.54406155
32,8/8/2010,172.6395254,7,24.66278934
33,8/15/2010,129.0074541,7,18.4296363
34,8/22/2010,133.6516367,7,19.09309096
35,8/29/2010,157.8414155,7,22.54877365
36,9/5/2010,173.2268202,7,24.7466886
37,9/12/2010,169.4936815,7,24.21338308
38,9/19/2010,225.2756535,7,32.18223621
39,9/26/2010,52.31681031,7,7.473830044
40,10/3/2010,235.0690316,7,33.58129023
41,10/10/2010,100.8704921,7,14.41007031
42,10/17/2010,287.9300125,7,41.13285892
43,10/24/2010,443.2556428,7,63.32223469
44,10/31/2010,295.5077095,7,42.21538707
45,11/7/2010,334.8938322,7,47.84197602
46,11/14/2010,326.7578931,7,46.67969902
47,11/21/2010,378.3732584,7,54.05332263
48,11/28/2010,413.2585458,7,59.03693511
49,12/5/2010,491.8648592,7,70.26640846
50,12/12/2010,426.3832341,7,60.91189059
51,12/19/2010,486.6218808,7,69.51741154
52,12/26/2010,407.2905205,7,58.18436007
53,1/2/2011,307.3542087,7,43.90774409
54,1/9/2011,356.5612127,7,50.9373161
55,1/16/2011,300.8774534,7,42.98249334
56,1/23/2011,243.7213921,7,34.81734173
57,1/30/2011,248.4974215,7,35.49963165
58,2/6/2011,199.5914601,7,28.51306573
59,2/13/2011,400.9805055,7,57.28292935
60,2/20/2011,330.3841689,7,47.19773842
61,2/27/2011,338.5154734,7,48.35935334
62,3/6/2011,356.6321451,7,50.9474493
63,3/13/2011,378.5775577,7,54.08250824
64,3/20/2011,393.8562084,7,56.26517262
65,3/27/2011,267.0652167,7,38.15217382
66,4/3/2011,224.7621167,7,32.10887381
67,4/10/2011,291.2198383,7,41.60283404
68,4/17/2011,332.4524236,7,47.49320337
69,4/24/2011,258.8162715,7,36.97375308
70,5/1/2011,180.9415488,7,25.84879268
71,5/8/2011,243.7456145,7,34.82080208
72,5/15/2011,283.6275545,7,40.51822208
73,5/22/2011,284.9441667,7,40.70630953
74,5/29/2011,296.449348,7,42.34990686
75,6/5/2011,230.9453695,7,32.99219564
76,6/12/2011,181.3311889,7,25.90445556
77,6/19/2011,153.911258,7,21.98732257
78,6/26/2011,224.7595286,7,32.10850409
79,7/3/2011,180.8961461,7,25.84230658
80,7/10/2011,242.0502245,7,34.5786035
81,7/17/2011,209.8565672,7,29.9795096
82,7/24/2011,159.4461327,7,22.77801896
83,7/31/2011,203.4420278,7,29.06314683
84,8/7/2011,178.4222945,7,25.48889921
85,8/14/2011,152.4874591,7,21.78392272
86,8/21/2011,170.5252912,7,24.36075589
87,8/28/2011,113.4627453,7,16.20896362
88,9/4/2011,107.5776059,7,15.36822941
89,9/11/2011,180.0305291,7,25.71864701
90,9/18/2011,93.09871008,7,13.29981573
91,9/25/2011,187.2675128,7,26.75250182
92,10/2/2011,353.9694419,7,50.56706313
93,10/9/2011,293.8778469,7,41.98254956
94,10/16/2011,232.7797936,7,33.25425622
95,10/23/2011,127.8503858,7,18.26434083
96,10/30/2011,211.8659288,7,30.26656125
97,11/6/2011,281.9186336,7,40.27409052
98,11/13/2011,285.8469741,7,40.83528201
99,11/20/2011,468.989232,7,66.99846172
100,11/27/2011,216.896612,7,30.98523029
101,12/4/2011,161.5985723,7,23.08551033
102,12/11/2011,245.4111135,7,35.0587305
103,12/18/2011,164.5036869,7,23.50052671
104,12/25/2011,297.7427751,7,42.53468215
105,1/1/2012,240.4464934,7,34.34949905
106,1/8/2012,162.8500724,7,23.26429605
107,1/15/2012,327.7090801,7,46.81558288
108,1/22/2012,401.6493147,7,57.37847353
109,1/29/2012,232.9048493,7,33.27212132
110,2/5/2012,288.4895208,7,41.21278869
111,2/12/2012,277.1614108,7,39.59448726
112,2/19/2012,224.4550093,7,32.06500133
113,2/26/2012,245.0939617,7,35.01342309
114,3/4/2012,171.3707248,7,24.48153212
115,3/11/2012,390.163088,7,55.737584
116,3/18/2012,319.3354256,7,45.61934651
117,3/25/2012,400.1368155,7,57.16240221
118,4/1/2012,246.2153771,7,35.1736253
119,4/8/2012,301.8027356,7,43.11467651
120,4/15/2012,279.5331579,7,39.93330827
121,4/22/2012,281.5659147,7,40.22370211
122,4/29/2012,218.4288862,7,31.2041266
123,5/6/2012,139.9968426,7,19.99954895
124,5/13/2012,163.5519486,7,23.36456409
125,5/20/2012,187.3480027,7,26.76400038
126,5/27/2012,164.0246287,7,23.43208981
127,6/3/2012,194.8624685,7,27.8374955
128,6/10/2012,117.5318482,7,16.79026404
129,6/17/2012,149.6583952,7,21.37977075
130,6/24/2012,152.6525405,7,21.80750578
131,7/1/2012,157.0987804,7,22.44268291
132,7/8/2012,112.190007,7,16.02714386
133,7/15/2012,148.5608006,7,21.22297151
134,7/22/2012,104.2845369,7,14.89779099
135,7/29/2012,64.39538948,7,9.199341354
136,8/5/2012,58.84597017,7,8.406567167
137,8/12/2012,59.81886473,7,8.545552104
138,8/19/2012,59.94534941,7,8.563621345
139,8/26/2012,64.64814684,7,9.235449549
140,9/2/2012,50.15724086,7,7.165320123
141,9/9/2012,61.17536346,7,8.739337637
142,9/16/2012,47.78274231,7,6.826106044
143,9/23/2012,69.59278534,7,9.941826477
144,9/30/2012,45.1764378,7,6.453776828
145,10/7/2012,131.4303933,7,18.77577047
146,10/14/2012,127.5785619,7,18.22550885
147,10/21/2012,281.8574802,7,40.26535431
148,10/28/2012,267.6994872,7,38.24278388
149,11/4/2012,214.9252089,7,30.70360128
150,11/11/2012,284.150927,7,40.59298958
151,11/18/2012,389.0971716,7,55.58531023
152,11/25/2012,405.9844766,7,57.99778237
153,12/2/2012,406.8886195,7,58.12694565
154,12/9/2012,331.0501782,7,47.2928826
155,12/16/2012,443.777996,7,63.39685657
156,12/23/2012,499.6806603,7,71.38295148
157,12/30/2012,308.8898374,7,44.12711963
158,1/6/2013,364.7277342,7,52.10396203
159,1/13/2013,224.4928153,7,32.07040218
160,1/20/2013,303.6166983,7,43.37381404
161,1/27/2013,263.8023452,7,37.68604932
162,2/3/2013,264.6057782,7,37.80082546
163,2/10/2013,221.4509803,7,31.63585433
164,2/17/2013,261.5836933,7,37.36909904
165,2/24/2013,214.2662525,7,30.60946464
166,3/3/2013,295.1159347,7,42.15941924
167,3/10/2013,200.568023,7,28.65257472
168,3/17/2013,253.4590631,7,36.20843758
169,3/24/2013,275.6816225,7,39.38308893
170,3/31/2013,352.7286405,7,50.38980579
171,4/7/2013,240.1908673,7,34.31298105
172,4/14/2013,199.1558153,7,28.45083076
173,4/21/2013,152.5537827,7,21.79339753
174,4/28/2013,146.3919192,7,20.91313132
175,5/5/2013,240.4689741,7,34.35271059
176,5/12/2013,198.8011872,7,28.4001696
177,5/19/2013,156.3411274,7,22.33444677
178,5/26/2013,198.6275891,7,28.37536988
179,6/2/2013,123.5185861,7,17.6455123
180,6/9/2013,140.8412606,7,20.12018008
181,6/16/2013,140.2945696,7,20.04208137
182,6/23/2013,244.6446476,7,34.94923537
183,6/30/2013,147.6618579,7,21.09455113
184,7/7/2013,139.1416672,7,19.87738102
185,7/14/2013,105.8850177,7,15.12643111
186,7/21/2013,114.9760093,7,16.42514418
187,7/28/2013,98.92551115,7,14.13221588
188,8/4/2013,137.9083364,7,19.70119092
189,8/11/2013,112.790546,7,16.11293514
190,8/18/2013,138.633252,7,19.80475029
191,8/25/2013,168.4410049,7,24.06300071
192,9/1/2013,158.7300879,7,22.67572684
193,9/8/2013,92.91641905,7,13.27377415
194,9/15/2013,169.4467877,7,24.20668395
195,9/22/2013,240.7090161,7,34.3870023
196,9/29/2013,240.7688115,7,34.3955445
197,10/6/2013,127.2534515,7,18.17906451
198,10/13/2013,111.887213,7,15.98388757
199,10/20/2013,77.74083491,7,11.10583356
200,10/27/2013,225.7715008,7,32.25307154
201,11/3/2013,160.7161682,7,22.95945259
202,11/10/2013,164.3706751,7,23.48152502
203,11/17/2013,286.1270337,7,40.87529052
204,11/24/2013,164.4517071,7,23.49310102
205,12/1/2013,272.4113095,7,38.91590135
206,12/8/2013,235.1000696,7,33.58572424
207,12/15/2013,190.0074032,7,27.14391474
208,12/22/2013,178.894741,7,25.55639158
209,12/29/2013,144.804716,7,20.686388
210,1/5/2014,245.5009574,7,35.07156535
211,1/12/2014,140.0205754,7,20.00293934
212,1/19/2014,90.10022454,7,12.87146065
213,1/26/2014,273.0336786,7,39.00481122
214,2/2/2014,337.3233578,7,48.18905111
215,2/9/2014,491.3856974,7,70.19795677
216,2/16/2014,238.7530976,7,34.10758538
217,2/23/2014,353.376506,7,50.482358
218,3/2/2014,431.7470935,7,61.67815621
219,3/9/2014,228.2300958,7,32.60429941
220,3/16/2014,146.9241721,7,20.98916745
221,3/23/2014,336.1910093,7,48.02728705
222,3/30/2014,365.4564919,7,52.20807027
223,4/6/2014,179.9018646,7,25.70026637
224,4/13/2014,150.117881,7,21.44541157
225,4/20/2014,233.5572483,7,33.36532119
226,4/27/2014,167.1550547,7,23.87929353
227,5/4/2014,226.5207151,7,32.36010215
228,5/11/2014,107.7509887,7,15.39299839
229,5/18/2014,168.8841582,7,24.12630831
230,5/25/2014,120.0194126,7,17.14563037
231,6/1/2014,95.09349359,7,13.5847848
232,6/8/2014,111.413387,7,15.91619815
233,6/15/2014,98.82162321,7,14.11737474
234,6/22/2014,142.5088886,7,20.35841265
235,6/29/2014,72.08835551,7,10.2983365
236,7/6/2014,89.24533614,7,12.74933373
237,7/13/2014,122.0319874,7,17.43314106
238,7/20/2014,137.6863854,7,19.66948363
239,7/27/2014,68.0670185,7,9.723859786
240,8/3/2014,177.7217866,7,25.38882666
241,8/10/2014,138.9264755,7,19.84663936
242,8/17/2014,118.3338093,7,16.90482991
243,8/24/2014,95.35073793,7,13.62153399
244,8/31/2014,54.94669664,7,7.849528091
245,9/7/2014,58.71931849,7,8.38847407
246,9/14/2014,136.135476,7,19.44792514
247,9/21/2014,289.4505606,7,41.35008008
248,9/28/2014,175.4253128,7,25.06075897
249,10/5/2014,57.84904227,7,8.264148896
250,10/12/2014,203.4586585,7,29.06552264
251,10/19/2014,388.3933653,7,55.48476647
252,10/26/2014,330.7546676,7,47.2506668
253,11/2/2014,226.5467809,7,32.36382584
254,11/9/2014,316.285901,7,45.18370015
255,11/16/2014,323.777282,7,46.25389743
256,11/23/2014,352.0301599,7,50.29002284
257,11/30/2014,570.0912328,7,81.44160469
258,12/7/2014,577.1732317,7,82.45331881
259,12/14/2014,517.7054075,7,73.95791536
260,12/21/2014,357.5132198,7,51.07331712
261,12/28/2014,245.3737761,7,35.05339659
262,1/4/2015,267.3451198,7,38.19215997
263,1/11/2015,403.2687182,7,57.60981688
264,1/18/2015,300.4950912,7,42.92787018
265,1/25/2015,272.0054812,7,38.85792588
266,2/1/2015,461.3090281,7,65.90128973
267,2/8/2015,316.195097,7,45.17072814
268,2/15/2015,211.4561471,7,30.20802101
269,2/22/2015,211.5517415,7,30.22167735
270,3/1/2015,201.9630826,7,28.85186894
271,3/8/2015,282.2510938,7,40.32158483
272,3/15/2015,301.9522481,7,43.13603544
273,3/22/2015,288.6175877,7,41.23108395
274,3/29/2015,187.2896354,7,26.7556622
275,4/5/2015,332.2613271,7,47.46590388
276,4/12/2015,165.5265231,7,23.64664616
277,4/19/2015,209.1783518,7,29.88262168
278,4/26/2015,163.4561761,7,23.3508823
279,5/3/2015,165.4505322,7,23.63579032
280,5/10/2015,260.285737,7,37.18367671
281,5/17/2015,279.1590159,7,39.87985942
282,5/24/2015,201.9739513,7,28.85342161
283,5/31/2015,203.7409485,7,29.10584979
284,6/7/2015,149.927597,7,21.41822814
