Week #,Starting Date,Total Value,Num Datapoints,Average Value
1,1/3/2010,0,1,0
2,1/10/2010,0,0,0
3,1/17/2010,0,0,0
4,1/24/2010,0,0,0
5,1/31/2010,0,0,0
6,2/7/2010,0,0,0
7,2/14/2010,0,0,0
8,2/21/2010,0,0,0
9,2/28/2010,0,0,0
10,3/7/2010,0,0,0
11,3/14/2010,0,0,0
12,3/21/2010,0,0,0
13,3/28/2010,0,0,0
14,4/4/2010,0,0,0
15,4/11/2010,0,0,0
16,4/18/2010,0,0,0
17,4/25/2010,0,0,0
18,5/2/2010,12,5,2.4
19,5/9/2010,30,14,2.142857143
20,5/16/2010,25,12,2.083333333
21,5/23/2010,41,9,4.555555556
22,5/30/2010,46,13,3.538461538
23,6/6/2010,107,16,6.6875
24,6/13/2010,99,18,5.5
25,6/20/2010,188,25,7.52
26,6/27/2010,159,19,8.368421053
27,7/4/2010,343,32,10.71875
28,7/11/2010,502,26,19.30769231
29,7/18/2010,815,30,27.16666667
30,7/25/2010,708,27,26.22222222
31,8/1/2010,1310,38,34.47368421
32,8/8/2010,1097,36,30.47222222
33,8/15/2010,361,32,11.28125
34,8/22/2010,825,40,20.625
35,8/29/2010,706,34,20.76470588
36,9/5/2010,575,26,22.11538462
37,9/12/2010,1326,32,41.4375
38,9/19/2010,309,23,13.43478261
39,9/26/2010,305,21,14.52380952
40,10/3/2010,89,9,9.888888889
41,10/10/2010,23,6,3.833333333
42,10/17/2010,21,6,3.5
43,10/24/2010,1,1,1
44,10/31/2010,0,0,0
45,11/7/2010,0,0,0
46,11/14/2010,0,0,0
47,11/21/2010,0,0,0
48,11/28/2010,0,0,0
49,12/5/2010,0,0,0
50,12/12/2010,0,0,0
51,12/19/2010,0,0,0
52,12/26/2010,0,0,0
53,1/2/2011,0,0,0
54,1/9/2011,0,0,0
55,1/16/2011,0,0,0
56,1/23/2011,0,0,0
57,1/30/2011,0,0,0
58,2/6/2011,0,0,0
59,2/13/2011,0,0,0
60,2/20/2011,0,0,0
61,2/27/2011,0,0,0
62,3/6/2011,0,0,0
63,3/13/2011,0,0,0
64,3/20/2011,0,0,0
65,3/27/2011,17,7,2.428571429
66,4/3/2011,1,1,1
67,4/10/2011,10,7,1.428571429
68,4/17/2011,7,6,1.166666667
69,4/24/2011,15,7,2.142857143
70,5/1/2011,77,30,2.566666667
71,5/8/2011,48,28,1.714285714
72,5/15/2011,14,9,1.555555556
73,5/22/2011,50,26,1.923076923
74,5/29/2011,19,12,1.583333333
75,6/5/2011,125,31,4.032258065
76,6/12/2011,199,43,4.627906977
77,6/19/2011,232,42,5.523809524
78,6/26/2011,706,45,15.68888889
79,7/3/2011,620,33,18.78787879
80,7/10/2011,1195,68,17.57352941
81,7/17/2011,695,46,15.10869565
82,7/24/2011,577,32,18.03125
83,7/31/2011,2605,62,42.01612903
84,8/7/2011,1680,64,26.25
85,8/14/2011,723,45,16.06666667
86,8/21/2011,865,62,13.9516129
87,8/28/2011,793,51,15.54901961
88,9/4/2011,439,34,12.91176471
89,9/11/2011,1171,50,23.42
90,9/18/2011,789,46,17.15217391
91,9/25/2011,234,28,8.357142857
92,10/2/2011,59,13,4.538461538
93,10/9/2011,16,8,2
94,10/16/2011,11,7,1.571428571
95,10/23/2011,2,2,1
96,10/30/2011,1,1,1
97,11/6/2011,0,0,0
98,11/13/2011,0,0,0
99,11/20/2011,0,0,0
100,11/27/2011,0,0,0
101,12/4/2011,0,0,0
102,12/11/2011,0,0,0
103,12/18/2011,0,0,0
104,12/25/2011,0,0,0
105,1/1/2012,0,0,0
106,1/8/2012,0,0,0
107,1/15/2012,0,0,0
108,1/22/2012,0,0,0
109,1/29/2012,0,0,0
110,2/5/2012,0,0,0
111,2/12/2012,0,0,0
112,2/19/2012,0,0,0
113,2/26/2012,0,0,0
114,3/4/2012,39,11,3.545454545
115,3/11/2012,1,1,1
116,3/18/2012,0,0,0
117,3/25/2012,0,0,0
118,4/1/2012,0,0,0
119,4/8/2012,11,7,1.571428571
120,4/15/2012,11,8,1.375
121,4/22/2012,40,21,1.904761905
