Week,Starting Date,Total Value,Num Datapoints,Average Value
1,40181,0.707811404,7,0.101115915
2,40188,0.767318741,7,0.109616963
3,40195,-0.043109174,7,-0.006158453
4,40202,0.603056401,7,0.086150914
5,40209,0.780920422,7,0.11156006
6,40216,1.231590501,7,0.1759415
7,40223,3.213871272,7,0.459124468
8,40230,1.573159447,7,0.224737064
9,40237,1.448569685,7,0.206938526
10,40244,2.530409066,7,0.36148701
11,40251,3.312456817,7,0.473208117
12,40258,2.830325104,7,0.404332158
13,40265,0.815285875,7,0.116469411
14,40272,2.369090306,7,0.338441472
15,40279,1.809466758,7,0.258495251
16,40286,3.044806301,7,0.434972329
17,40293,2.721366047,7,0.388766578
18,40300,4.27691989,7,0.610988556
19,40307,3.057494158,7,0.43678488
20,40314,1.778278455,7,0.254039779
21,40321,1.966706227,7,0.280958033
22,40328,1.355847174,7,0.193692454
23,40335,3.388790771,7,0.484112967
24,40342,3.984145393,7,0.569163628
25,40349,3.491794122,7,0.498827732
26,40356,4.025176922,7,0.575025275
27,40363,3.704514971,7,0.529216424
28,40370,3.903275348,7,0.557610764
29,40377,3.862069882,7,0.551724269
30,40384,3.806301043,7,0.543757292
31,40391,3.784207824,7,0.540601118
32,40398,3.431345554,7,0.490192222
33,40405,3.652088222,7,0.521726889
34,40412,3.094194959,7,0.442027851
35,40419,3.595522207,7,0.51364603
36,40426,3.063696178,7,0.437670883
37,40433,2.626744962,7,0.37524928
38,40440,3.288542688,7,0.469791813
39,40447,3.753169227,7,0.536167033
40,40454,2.199878753,7,0.314268393
41,40461,3.14079746,7,0.448685352
42,40468,1.978623177,7,0.282660454
43,40475,0.945673103,6,0.157612184
44,40482,2.650904328,7,0.378700618
45,40489,2.478363748,7,0.354051964
46,40496,1.85585979,7,0.265122827
47,40503,2.135538117,7,0.305076874
48,40510,1.200830719,7,0.171547246
49,40517,0.416332667,7,0.059476095
50,40524,1.602728588,7,0.228961227
51,40531,0.383571508,7,0.05479593
52,40538,1.401545941,7,0.200220849
53,40545,2.786569531,7,0.398081362
54,40552,1.379445576,7,0.197063654
55,40559,3.327787253,7,0.475398179
56,40566,2.626078762,7,0.375154109
57,40573,3.414719392,7,0.487817056
58,40580,3.794973931,7,0.542139133
59,40587,0.664782137,7,0.094968877
60,40594,1.918429148,7,0.274061307
61,40601,1.367013089,7,0.195287584
62,40608,0.797123924,7,0.113874846
63,40615,0.848162304,7,0.121166043
64,40622,0.366066975,7,0.052295282
65,40629,2.766385388,7,0.395197913
66,40636,2.755256957,7,0.393608137
67,40643,1.678909492,7,0.239844213
68,40650,1.672887868,7,0.238983981
69,40657,3.48789451,7,0.498270644
70,40664,3.718973931,7,0.53128199
71,40671,2.851736704,7,0.407390958
72,40678,2.409775277,7,0.344253611
73,40685,1.70548795,7,0.243641136
74,40692,1.245133479,7,0.177876211
75,40699,2.632895845,7,0.376127978
76,40706,3.479887438,7,0.497126777
77,40713,3.841461583,7,0.548780226
78,40720,3.115061335,7,0.445008762
79,40727,4.145547999,7,0.592221143
80,40734,3.445492888,7,0.49221327
81,40741,3.283875165,7,0.469125024
82,40748,4.019809837,7,0.574258548
83,40755,3.962602788,7,0.566086113
84,40762,3.921068657,7,0.560152665
85,40769,3.883722992,7,0.55481757
86,40776,3.756227975,7,0.536603996
87,40783,3.839109542,7,0.54844422
88,40790,3.552397525,7,0.507485361
89,40797,3.385690352,7,0.48367005
90,40804,3.881437977,7,0.55449114
91,40811,2.798777704,7,0.399825386
92,40818,1.836180369,7,0.262311481
93,40825,2.829670669,7,0.404238667
94,40832,4.194860944,7,0.599265849
95,40839,4.095072461,7,0.585010352
96,40846,2.94094363,7,0.420134804
97,40853,2.503423567,7,0.357631938
98,40860,2.424790112,7,0.346398587
99,40867,0.91666018,7,0.130951454
100,40874,3.62206082,7,0.51743726
101,40881,3.803824459,7,0.543403494
102,40888,3.290082095,7,0.470011728
103,40895,3.4383787,7,0.491196957
104,40902,1.838527795,7,0.262646828
105,40909,2.89187661,7,0.41312523
106,40916,3.517590963,7,0.502512995
107,40923,1.613561488,7,0.230508784
108,40930,1.450659377,7,0.207237054
109,40937,3.1063798,7,0.443768543
110,40944,2.227740367,7,0.318248624
111,40951,3.123748876,7,0.446249839
112,40958,2.857526474,7,0.408218068
113,40965,1.919527394,7,0.274218199
114,40972,3.565814092,7,0.509402013
115,40979,0.659406731,7,0.094200962
116,40986,0.899921561,7,0.128560223
117,40993,0.290460949,7,0.041494421
118,41000,1.830521357,6,0.305086893
119,41007,1.109659735,7,0.158522819
120,41014,2.515105556,7,0.359300794
121,41021,3.051273583,7,0.435896226
122,41028,2.628899874,7,0.375557125
123,41035,3.845409452,6,0.640901575
124,41042,3.826172155,7,0.546596022
125,41049,2.878553271,7,0.411221896
126,41056,3.811661839,7,0.54452312
