Week,Starting Date,Total Value,Num Datapoints,Average Value
1,1/3/2010,4.450561107,7,0.6357944439
2,1/10/2010,63.78944531,7,9.112777902
3,1/17/2010,214.4009247,7,30.62870353
4,1/24/2010,79.36856038,7,11.33836577
5,1/31/2010,91.88097376,7,13.12585339
6,2/7/2010,24.38303421,7,3.483290602
7,2/14/2010,9.912021135,7,1.416003019
8,2/21/2010,79.94084635,7,11.42012091
9,2/28/2010,37.39607849,7,5.342296927
10,3/7/2010,27.95894836,7,3.99413548
11,3/14/2010,0.09471189266,7,0.01353027038
12,3/21/2010,7.636912483,7,1.090987498
13,3/28/2010,36.34184576,7,5.191692252
14,4/4/2010,25.26931378,7,3.609901969
15,4/11/2010,78.61079992,7,11.23011427
16,4/18/2010,31.31722967,7,4.473889952
17,4/25/2010,27.39750822,7,3.913929746
18,5/2/2010,2.496317257,7,0.3566167511
19,5/9/2010,20.62751697,7,2.946788138
20,5/16/2010,17.66522659,7,2.523603798
21,5/23/2010,29.6417139,7,4.234530557
22,5/30/2010,16.49403889,7,2.356291271
23,6/6/2010,0.03328883857,7,0.004755548368
24,6/13/2010,0.0859060562,7,0.01227229374
25,6/20/2010,0.007062995731,7,0.00100899939
26,6/27/2010,0,7,0
27,7/4/2010,0.4132755543,7,0.0590393649
28,7/11/2010,0,7,0
29,7/18/2010,0,7,0
30,7/25/2010,0,7,0
31,8/1/2010,0,7,0
32,8/8/2010,0.01093938014,7,0.001562768591
33,8/15/2010,0,7,0
34,8/22/2010,4.989883677,7,0.7128405253
35,8/29/2010,0.04546787319,7,0.006495410456
36,9/5/2010,8.608432971,7,1.229776139
37,9/12/2010,2.824861297,7,0.4035516139
38,9/19/2010,3.680078988,7,0.5257255697
39,9/26/2010,0.9947109084,7,0.1421015583
40,10/3/2010,3.059258874,7,0.437036982
41,10/10/2010,0,7,0
42,10/17/2010,80.00327438,7,11.4290392
43,10/24/2010,83.68001917,7,11.95428845
44,10/31/2010,19.31347156,7,2.759067366
45,11/7/2010,27.80836615,7,3.972623736
46,11/14/2010,31.13977981,7,4.448539972
47,11/21/2010,30.8158992,7,4.402271314
48,11/28/2010,26.7951703,7,3.827881472
49,12/5/2010,78.20400287,7,11.17200041
50,12/12/2010,54.93618505,7,7.848026436
51,12/19/2010,86.55601695,7,12.36514528
52,12/26/2010,58.38158162,7,8.340225946
53,1/2/2011,1.022164267,7,0.1460234668
54,1/9/2011,28.02644735,7,4.003778193
55,1/16/2011,0.01372797672,7,0.001961139531
56,1/23/2011,9.271972596,7,1.324567514
57,1/30/2011,0.7838155709,7,0.111973653
58,2/6/2011,0,7,0
59,2/13/2011,110.8282957,7,15.83261367
60,2/20/2011,27.70933172,7,3.958475959
61,2/27/2011,49.5886478,7,7.084092543
62,3/6/2011,17.16383976,7,2.451977109
63,3/13/2011,145.5040921,7,20.78629888
64,3/20/2011,144.4502065,7,20.63574379
65,3/27/2011,10.18399247,7,1.454856067
66,4/3/2011,0.1770912473,7,0.02529874962
67,4/10/2011,7.977422881,7,1.13963184
68,4/17/2011,38.7941278,7,5.542018257
69,4/24/2011,6.585587959,7,0.9407982799
70,5/1/2011,2.027048183,7,0.2895783119
71,5/8/2011,9.055018067,7,1.29357401
72,5/15/2011,62.82303508,7,8.974719298
73,5/22/2011,29.67044083,7,4.238634405
74,5/29/2011,44.5248556,7,6.360693658
75,6/5/2011,6.147455171,7,0.8782078816
76,6/12/2011,0,7,0
77,6/19/2011,0,7,0
78,6/26/2011,36.60599117,7,5.22942731
79,7/3/2011,0,7,0
80,7/10/2011,1.968708813,7,0.2812441161
81,7/17/2011,0.657530242,7,0.09393289171
82,7/24/2011,0,7,0
83,7/31/2011,0.007916902471,7,0.001130986067
84,8/7/2011,0,7,0
85,8/14/2011,0,7,0
86,8/21/2011,0.004205340043,7,0.0006007628633
87,8/28/2011,0,7,0
88,9/4/2011,0.02244507513,7,0.003206439305
89,9/11/2011,2.380664537,7,0.3400949339
90,9/18/2011,0.01791133635,7,0.002558762336
91,9/25/2011,0.195684346,7,0.02795490658
92,10/2/2011,65.32540836,7,9.332201194
93,10/9/2011,25.95807921,7,3.70829703
94,10/16/2011,0.00003098607274,7,0.00000442658182
95,10/23/2011,0,7,0
96,10/30/2011,11.11226534,7,1.587466477
97,11/6/2011,2.059416724,7,0.2942023892
98,11/13/2011,11.98776349,7,1.712537642
99,11/20/2011,52.18943275,7,7.455633251
100,11/27/2011,0,7,0
101,12/4/2011,0,7,0
102,12/11/2011,3.141879429,7,0.4488399184
103,12/18/2011,0,7,0
104,12/25/2011,9.332818184,7,1.333259741
105,1/1/2012,0,7,0
106,1/8/2012,0,7,0
107,1/15/2012,108.9213302,7,15.56019003
108,1/22/2012,57.25472491,7,8.179246415
109,1/29/2012,3.669027036,7,0.5241467195
110,2/5/2012,14.44498502,7,2.063569289
111,2/12/2012,16.37615657,7,2.339450938
112,2/19/2012,0.4566944379,7,0.06524206256
113,2/26/2012,27.74325893,7,3.963322704
114,3/4/2012,0.7637378449,7,0.1091054064
115,3/11/2012,131.8124095,7,18.83034421
116,3/18/2012,34.96822056,7,4.99546008
117,3/25/2012,139.1600755,7,19.88001078
118,4/1/2012,6.299433886,7,0.8999191265
119,4/8/2012,77.4761993,7,11.06802847
120,4/15/2012,0.2154444365,7,0.03077777664
121,4/22/2012,15.61794119,7,2.231134455
122,4/29/2012,11.09616614,7,1.585166592
123,5/6/2012,0,7,0
124,5/13/2012,0.3980569299,7,0.0568652757
125,5/20/2012,2.661985088,7,0.380283584
126,5/27/2012,0.005640369663,7,0.0008057670947
127,6/3/2012,19.97846117,7,2.854065882
128,6/10/2012,0.008136936511,7,0.001162419502
129,6/17/2012,1.720734438,7,0.2458192055
130,6/24/2012,1.938311827,7,0.2769016896
131,7/1/2012,0,7,0
132,7/8/2012,0,7,0
133,7/15/2012,0.3881044992,7,0.05544349989
134,7/22/2012,0.01125504119,7,0.001607863027
135,7/29/2012,0,7,0
136,8/5/2012,0,7,0
137,8/12/2012,0.02410236046,7,0.003443194351
138,8/19/2012,0,7,0
139,8/26/2012,0,7,0
140,9/2/2012,0.0002982075323,7,0.00004260107605
141,9/9/2012,0,7,0
142,9/16/2012,0,7,0
143,9/23/2012,0,7,0
144,9/30/2012,0,7,0
145,10/7/2012,0.08129535552,7,0.01161362222
146,10/14/2012,0.001682298831,7,0.0002403284045
147,10/21/2012,33.40505277,7,4.772150396
148,10/28/2012,17.86605697,7,2.552293852
149,11/4/2012,6.103014489,7,0.8718592127
150,11/11/2012,64.59816002,7,9.228308574
151,11/18/2012,76.25242385,7,10.89320341
