Week,Starting Date,Total Value,Num Datapoints,Average Value
1,40181,57.83745158,7,8.262493083
2,40188,58.93016286,7,8.418594695
3,40195,37.25680935,7,5.322401336
4,40202,46.63394292,7,6.661991846
5,40209,49.2517939,7,7.035970557
6,40216,53.07049465,7,7.581499235
7,40223,80.34415328,7,11.47773618
8,40230,51.42109142,7,7.345870202
9,40237,57.56953359,7,8.224219085
10,40244,44.73111355,7,6.390159079
11,40251,94.86132081,7,13.55161726
12,40258,75.88421925,7,10.84060275
13,40265,52.83260852,7,7.547515503
14,40272,67.85678646,7,9.693826638
15,40279,70.65706725,7,10.09386675
16,40286,93.80807478,7,13.40115354
17,40293,85.12466579,7,12.16066654
18,40300,102.5538927,7,14.6505561
19,40307,106.9230663,7,15.27472376
20,40314,85.17951205,7,12.16850172
21,40321,85.99880554,7,12.28554365
22,40328,130.8942304,7,18.69917577
23,40335,141.4842217,7,20.21203167
24,40342,144.5037291,7,20.64338987
25,40349,163.5941169,7,23.37058814
26,40356,176.48655,7,25.21236428
27,40363,194.1311001,7,27.7330143
28,40370,197.3444167,7,28.19205953
29,40377,200.1262266,7,28.58946094
30,40384,178.1287617,7,25.44696595
31,40391,184.7087326,7,26.38696181
32,40398,170.0760472,7,24.29657818
33,40405,175.2085139,7,25.0297877
34,40412,175.8546749,7,25.12209641
35,40419,165.5053687,7,23.6436241
36,40426,142.6219868,7,20.37456955
37,40433,149.7112997,7,21.38732853
38,40440,133.4405751,7,19.06293931
39,40447,180.3740935,7,25.76772764
40,40454,121.710307,7,17.38718671
41,40461,150.9475561,7,21.56393658
42,40468,107.7719353,7,15.39599076
43,40475,70.61040631,7,10.0872009
44,40482,113.8588864,7,16.26555519
45,40489,67.3248885,7,9.617841215
46,40496,77.33378795,7,11.04768399
47,40503,26.84706483,7,3.835294976
48,40510,42.76781376,7,6.10968768
49,40517,67.55620861,7,9.650886944
50,40524,47.67771879,7,6.811102685
51,40531,44.69283505,7,6.384690722
52,40538,25.55174883,7,3.650249832
53,40545,33.53283001,7,4.790404287
54,40552,44.57418339,7,6.367740484
55,40559,84.70498602,7,12.10071229
56,40566,74.32798308,7,10.6182833
57,40573,75.57707901,7,10.79672557
58,40580,74.90417899,7,10.700597
59,40587,35.8263029,7,5.118043272
60,40594,28.58257925,7,4.083225607
61,40601,49.17249747,7,7.024642496
62,40608,64.78248533,7,9.254640761
63,40615,47.7328305,7,6.818975786
64,40622,43.15185569,7,6.164550812
65,40629,90.39220417,7,12.91317202
66,40636,76.02327053,7,10.86046722
67,40643,78.93229674,7,11.27604239
68,40650,85.97081203,7,12.28154458
69,40657,82.2311872,7,11.74731246
70,40664,123.7267228,7,17.67524612
71,40671,103.4679841,7,14.78114059
72,40678,89.01270637,7,12.71610091
73,40685,89.17418325,7,12.73916904
74,40692,78.08347462,7,11.15478209
75,40699,126.299251,7,18.04275014
76,40706,162.0034665,7,23.14335235
77,40713,177.9864259,7,25.42663227
78,40720,152.0781998,7,21.72545712
79,40727,192.1788399,7,27.45411998
80,40734,151.9647973,7,21.70925676
81,40741,166.7689032,7,23.82412903
82,40748,186.5962436,7,26.65660623
83,40755,179.9212862,7,25.70304089
84,40762,182.5520235,7,26.07886051
85,40769,179.1278684,7,25.58969548
86,40776,181.0711008,7,25.86730012
87,40783,182.5722294,7,26.08174705
88,40790,190.6537174,7,27.23624534
89,40797,161.2796982,7,23.03995689
90,40804,181.1863829,7,25.88376899
91,40811,142.655002,7,20.37928599
92,40818,91.15214245,7,13.02173464
93,40825,124.4830418,7,17.78329169
94,40832,133.9941917,7,19.14202739
95,40839,107.8446593,7,15.40637991
96,40846,78.92063605,7,11.27437658
97,40853,58.18799229,7,8.312570327
98,40860,61.02906216,7,8.718437452
99,40867,54.42594222,7,7.775134603
100,40874,72.39403795,7,10.34200542
101,40881,57.91260179,7,8.273228828
102,40888,50.52757195,7,7.218224564
103,40895,60.22758602,7,8.603940861
104,40902,51.29134898,7,7.327335568
105,40909,66.34742599,7,9.478203713
106,40916,65.03777661,7,9.291110944
107,40923,20.82806279,7,2.975437542
108,40930,54.92442929,7,7.846347042
109,40937,64.02215281,7,9.14602183
110,40944,67.20767523,7,9.601096462
111,40951,56.49799146,7,8.071141637
112,40958,72.63102182,7,10.37586026
113,40965,47.76019789,7,6.822885413
114,40972,73.92277597,7,10.56039657
115,40979,53.86439031,7,7.694912902
116,40986,44.12524417,7,6.303606309
117,40993,54.6707325,7,7.810104643
118,41000,57.93116295,7,8.275880421
119,41007,66.38827702,7,9.484039574
120,41014,115.1385137,7,16.4483591
121,41021,112.0887643,7,16.01268062
122,41028,105.9237121,7,15.13195887
123,41035,146.8686918,7,20.98124169
124,41042,137.7564403,7,19.67949147
125,41049,119.4656399,7,17.06651998
126,41056,151.8160907,7,21.68801296
127,41063,114.6700094,7,16.38142992
128,41070,180.8969352,7,25.84241931
129,41077,154.132746,7,22.01896371
130,41084,136.562218,7,19.50888829
131,41091,173.8117828,7,24.83025468
132,41098,192.6808674,7,27.5258382
133,41105,158.6357896,7,22.66225565
134,41112,180.3569955,7,25.76528507
135,41119,194.2076519,7,27.74395027
136,41126,197.6381772,7,28.23402532
137,41133,210.575616,7,30.08223086
138,41140,185.0798102,7,26.43997288
139,41147,155.6360576,7,22.23372251
140,41154,173.844109,7,24.83487272
141,41161,172.8255084,7,24.68935834
142,41168,169.3314357,7,24.1902051
143,41175,172.3873766,7,24.62676808
144,41182,159.6392549,7,22.80560785
145,41189,118.4852819,7,16.92646885
146,41196,137.3171708,7,19.61673869
147,41203,81.58704353,7,11.65529193
148,41210,102.4405894,7,14.63436991
149,41217,86.6293459,7,12.37562084
150,41224,66.37769885,7,9.482528407
151,41231,71.64234201,7,10.23462029
152,41238,77.05362604,7,11.00766086
153,41245,62.69454187,7,8.956363124
154,41252,41.53984741,7,5.934263915
155,41259,25.24811299,7,3.606873284
156,41266,24.67633965,7,3.525191378
157,41273,32.98655752,7,4.71236536
158,41280,31.45059643,7,4.492942348
159,41287,51.41168303,7,7.344526146
160,41294,59.91423207,7,8.559176009
161,41301,60.88030143,7,8.697185918
162,41308,51.08074819,7,7.297249742
163,41315,76.6259201,7,10.94656001
164,41322,47.48238427,7,6.783197753
165,41329,73.68473802,7,10.52639115
