Week,Starting Date,Total Value,Num Datapoints,Average Value
1,40181,84.91890104,7,12.13127158
2,40188,85.53580371,7,12.21940053
3,40195,48.58781489,7,6.941116413
4,40202,70.11462832,7,10.01637547
5,40209,70.80459817,7,10.1149426
6,40216,82.50427344,7,11.78632478
7,40223,123.347586,7,17.62108372
8,40230,82.99115057,7,11.85587865
9,40237,92.4540596,7,13.2077228
10,40244,86.61676479,7,12.37382354
11,40251,150.500734,7,21.50010485
12,40258,126.1628018,7,18.02325739
13,40265,83.84586011,7,11.97798002
14,40272,110.5103979,7,15.7871997
15,40279,105.3022002,7,15.04317146
16,40286,141.2602194,7,20.18003134
17,40293,134.8280729,7,19.26115328
18,40300,157.4466386,7,22.49237694
19,40307,157.1360568,7,22.44800811
20,40314,126.2685668,7,18.03836669
21,40321,124.3013981,7,17.75734258
22,40328,165.8687518,7,23.69553596
23,40335,191.7023596,7,27.38605137
24,40342,200.7707071,7,28.68152959
25,40349,219.3051944,7,31.32931348
26,40356,235.5254707,7,33.64649581
27,40363,254.2323746,7,36.31891066
28,40370,258.7168087,7,36.9595441
29,40377,264.2413414,7,37.74876305
30,40384,239.1993283,7,34.17133262
31,40391,248.6525203,7,35.52178862
32,40398,226.7468094,7,32.39240134
33,40405,239.1827859,7,34.16896941
34,40412,233.7340819,7,33.39058312
35,40419,225.8766449,7,32.26809213
36,40426,198.2497187,7,28.32138839
37,40433,208.6481122,7,29.80687316
38,40440,190.341469,7,27.19163843
39,40447,252.4699336,7,36.06713337
40,40454,162.8350483,7,23.26214976
41,40461,207.4466507,7,29.63523582
42,40468,145.699268,7,20.81418114
43,40475,98.02574267,7,14.00367752
44,40482,155.1680709,7,22.16686728
45,40489,104.7476906,7,14.9639558
46,40496,112.3309456,7,16.04727795
47,40503,57.62865529,7,8.232665041
48,40510,65.6380187,7,9.376859814
49,40517,85.43300278,7,12.20471468
50,40524,73.3892761,7,10.4841823
51,40531,62.95001572,7,8.992859389
52,40538,49.00414574,7,7.000592249
53,40545,71.45429007,7,10.20775572
54,40552,73.5837256,7,10.5119608
55,40559,129.5237788,7,18.50339697
56,40566,121.049353,7,17.29276472
57,40573,122.4321717,7,17.49031024
58,40580,125.8848096,7,17.98354423
59,40587,61.62408507,7,8.803440725
60,40594,63.2165769,7,9.030939557
61,40601,81.60222759,7,11.65746108
62,40608,93.48082888,7,13.35440413
63,40615,72.79576879,7,10.39939554
64,40622,66.34011638,7,9.477159482
65,40629,139.7155293,7,19.95936133
66,40636,123.8504262,7,17.69291803
67,40643,114.9818038,7,16.42597198
68,40650,122.09249,7,17.44178428
69,40657,131.5352976,7,18.79075681
70,40664,182.6750403,7,26.09643433
71,40671,152.8075056,7,21.82964366
72,40678,128.0516465,7,18.29309236
73,40685,128.813015,7,18.40185929
74,40692,110.3520219,7,15.76457455
75,40699,171.7314836,7,24.53306908
76,40706,218.3836064,7,31.19765806
77,40713,237.0377728,7,33.86253897
78,40720,203.0511456,7,29.00730651
79,40727,253.3210029,7,36.18871469
80,40734,201.6854069,7,28.81220098
81,40741,219.7703412,7,31.39576303
82,40748,251.0871834,7,35.86959763
83,40755,241.5404351,7,34.50577645
84,40762,243.0893994,7,34.72705706
85,40769,240.6009406,7,34.37156295
86,40776,248.3444296,7,35.47777566
87,40783,248.5620943,7,35.50887061
88,40790,259.2698144,7,37.03854492
89,40797,218.821833,7,31.26026186
90,40804,252.21347,7,36.03049572
91,40811,195.7907775,7,27.97011107
92,40818,125.8822895,7,17.98318421
93,40825,170.8103858,7,24.40148369
94,40832,186.8791008,7,26.6970144
95,40839,163.682362,7,23.38319457
96,40846,121.8000237,7,17.40000338
97,40853,99.56604968,7,14.22372138
98,40860,101.4369388,7,14.49099126
99,40867,76.30952144,7,10.90136021
100,40874,113.9048959,7,16.27212798
101,40881,109.258463,7,15.60835185
102,40888,94.28959331,7,13.4699419
103,40895,104.6967222,7,14.9566746
104,40902,89.64667296,7,12.80666757
105,40909,114.981356,7,16.42590801
106,40916,122.1575879,7,17.45108399
107,40923,50.40609448,7,7.20087064
108,40930,87.19785098,7,12.45683585
109,40937,108.9673631,7,15.56676615
110,40944,104.5634147,7,14.93763067
111,40951,98.84509247,7,14.1207275
112,40958,114.3676967,7,16.33824238
113,40965,88.73915931,7,12.67702276
114,40972,127.4033194,7,18.2004742
115,40979,82.09807893,7,11.72829699
116,40986,72.08524387,7,10.29789198
117,40993,76.64716621,7,10.94959517
118,41000,105.0543805,7,15.00776864
119,41007,101.5689255,7,14.5098465
120,41014,160.6235608,7,22.94622297
121,41021,156.5922404,7,22.37032006
122,41028,154.042153,7,22.00602186
123,41035,210.2673388,7,30.03819126
124,41042,197.5045382,7,28.21493403
125,41049,172.0362174,7,24.57660249
126,41056,212.4023615,7,30.3431945
127,41063,164.1040934,7,23.44344192
128,41070,237.0350806,7,33.86215437
129,41077,206.5266401,7,29.50380573
130,41084,191.7035436,7,27.38622051
131,41091,234.6352186,7,33.51931695
132,41098,259.9780861,7,37.13972658
133,41105,215.5966039,7,30.79951485
134,41112,246.1680066,7,35.16685809
135,41119,259.0707722,7,37.01011032
136,41126,265.1685286,7,37.88121837
137,41133,275.1977933,7,39.31397047
138,41140,247.9785407,7,35.42550581
139,41147,219.9852236,7,31.42646051
140,41154,241.6752878,7,34.52504111
141,41161,239.6037399,7,34.22910571
142,41168,238.5789177,7,34.08270253
143,41175,235.8254613,7,33.68935162
144,41182,225.2619428,7,32.18027754
145,41189,171.0343223,7,24.43347461
146,41196,192.9757764,7,27.56796805
147,41203,121.0048484,7,17.28640692
148,41210,141.3265001,7,20.18950002
149,41217,131.1275315,7,18.73250451
150,41224,98.83633936,7,14.11947705
151,41231,102.9454858,7,14.70649797
152,41238,101.7555576,7,14.53650823
153,41245,89.82473298,7,12.83210471
154,41252,72.97829207,7,10.4254703
155,41259,51.34729757,7,7.335328224
156,41266,50.33371336,7,7.190530481
157,41273,76.2552085,7,10.89360121
158,41280,68.82227275,7,9.83175325
159,41287,108.0811663,7,15.44016661
160,41294,101.5292649,7,14.5041807
161,41301,110.0395262,7,15.71993232
162,41308,96.25344394,7,13.75049199
163,41315,131.4719167,7,18.78170239
164,41322,90.73706822,7,12.96243832
165,41329,125.3631679,7,17.90902398
166,41336,107.3849869,7,15.34071241
167,41343,161.2991736,7,23.04273908
168,41350,120.3399312,7,17.19141875
169,41357,138.7868036,7,19.82668622
170,41364,119.5858754,7,17.08369649
171,41371,152.5549704,7,21.7935672
172,41378,144.2537423,7,20.60767747
173,41385,196.1742885,7,28.02489836
174,41392,198.6225884,7,28.37465548
175,41399,175.6991606,7,25.09988008
176,41406,188.4576611,7,26.92252302
177,41413,168.6507673,7,24.09296676
178,41420,181.712698,7,25.95895686
179,41427,258.7786261,7,36.96837516
180,41434,204.8771428,7,29.26816325
181,41441,200.6489754,7,28.66413934
182,41448,199.6813371,7,28.5259053
183,41455,271.8387925,7,38.83411321
184,41462,242.7208487,7,34.67440696
185,41469,254.9032515,7,36.41475021
186,41476,263.4562647,7,37.63660924
187,41483,229.7050933,7,32.81501333
188,41490,220.9013006,7,31.55732865
189,41497,242.4130753,7,34.63043933
190,41504,244.1645867,7,34.88065525
191,41511,224.3509016,7,32.05012881
192,41518,217.0900866,7,31.01286952
193,41525,248.8443946,7,35.54919923
194,41532,189.731919,7,27.10455986
195,41539,155.1238513,7,22.16055019
196,41546,158.4555511,7,22.63650729
197,41553,158.4146736,7,22.63066765
198,41560,176.3560964,7,25.19372806
199,41567,197.9795844,7,28.28279777
200,41574,134.5206307,7,19.21723295
201,41581,137.3216116,7,19.61737309
202,41588,144.5889908,7,20.65557011
203,41595,99.81291692,7,14.25898813
204,41602,126.0698592,7,18.00997988
205,41609,62.05859801,7,8.865514002
206,41616,90.78043969,7,12.96863424
207,41623,119.2544771,7,17.03635388
208,41630,128.0369299,7,18.29098999
209,41637,130.6236711,7,18.66052444
210,41644,99.84802822,7,14.26400403
211,41651,144.3569559,7,20.62242227
212,41658,150.7609471,7,21.53727815
213,41665,104.0107167,7,14.85867381
214,41672,67.47173256,7,9.638818937
215,41679,95.73133813,7,13.67590545
216,41686,117.292201,7,16.75602872
217,41693,109.9839114,7,15.71198735
218,41700,102.2960424,7,14.61372034
219,41707,139.3426037,7,19.90608625
220,41714,146.6440425,7,20.94914893
221,41721,108.1183367,7,15.44547668
222,41728,88.66613824,7,12.66659118
223,41735,181.8989043,7,25.98555776
224,41742,178.882936,7,25.55470514
225,41749,131.3018274,7,18.75740392
226,41756,181.337885,7,25.90541214
227,41763,143.2234068,7,20.46048669
228,41770,212.5829305,7,30.36899008
229,41777,198.68877,7,28.38411
230,41784,207.9848281,7,29.7121183
231,41791,240.9841446,7,34.42630637
232,41798,228.388881,7,32.626983
233,41805,212.1538315,7,30.30769021
234,41812,216.718762,7,30.95982314
235,41819,262.9316829,7,37.56166899
236,41826,259.6992959,7,37.09989941
237,41833,256.7334639,7,36.67620912
238,41840,234.1450545,7,33.4492935
239,41847,274.765171,7,39.25216729
240,41854,230.866264,7,32.98089485
241,41861,233.1369181,7,33.30527402
242,41868,236.6411565,7,33.80587951
243,41875,240.4498733,7,34.3499819
244,41882,247.7567558,7,35.39382226
245,41889,244.5222364,7,34.93174805
246,41896,228.2869058,7,32.61241512
247,41903,181.4158153,7,25.91654504
248,41910,197.52353,7,28.21764714
249,41917,226.2681817,7,32.32402596
250,41924,162.5486343,7,23.22123347
251,41931,126.8677366,7,18.12396237
252,41938,131.8953165,7,18.84218807
253,41945,150.3076507,7,21.47252153
254,41952,120.8261287,7,17.26087553
255,41959,90.56153532,7,12.93736219
256,41966,99.464358,7,14.209194
257,41973,85.18766686,7,12.16966669
258,41980,81.24840468,7,11.60691495
259,41987,59.63614009,7,8.519448584
260,41994,92.5301132,7,13.2185876
261,42001,76.5590298,7,10.93700426
262,42008,119.1666305,7,17.02380436
263,42015,93.42831803,7,13.34690258
264,42022,123.99741,7,17.71391572
265,42029,137.6399717,7,19.6628531
266,42036,100.4586687,7,14.35123839
267,42043,127.0077415,7,18.14396307
268,42050,148.9086724,7,21.27266748
269,42057,122.8955549,7,17.55650784
270,42064,137.0743396,7,19.58204851
271,42071,148.846931,7,21.26384729
272,42078,146.3893654,7,20.91276649
273,42085,147.8649122,7,21.12355889
274,42092,148.7384262,7,21.2483466
275,42099,103.0716315,7,14.72451878
276,42106,173.2995047,7,24.7570721
277,42113,178.0963233,7,25.4423319
278,42120,201.3945774,7,28.77065391
279,42127,182.9657221,7,26.1379603
280,42134,146.4563521,7,20.92233601
281,42141,164.0853038,7,23.44075769
282,42148,210.0814239,7,30.01163199
283,42155,204.0074921,7,29.14392744
284,42162,258.8238902,7,36.97484146
285,42169,242.0893515,7,34.58419307
286,42176,256.1323423,7,36.59033461
287,42183,269.874996,7,38.55357086
288,42190,214.9849605,7,30.71213722
289,42197,242.2717638,7,34.61025197
290,42204,237.6540282,7,33.95057545
291,42211,262.0006279,7,37.42866113
292,42218,228.4287104,7,32.63267292
293,42225,228.3566365,7,32.62237664
294,42232,255.3402026,7,36.47717179
295,42239,234.9107508,7,33.55867869
296,42246,204.7192185,7,29.24560265
297,42253,258.5118409,7,36.93026299
298,42260,177.3243551,7,25.33205073
299,42267,231.1502439,7,33.02146342
300,42274,195.7170724,7,27.95958177
301,42281,205.6019702,7,29.37171003
302,42288,213.7121426,7,30.53030609
303,42295,174.0502316,7,24.8643188
304,42302,161.1886352,7,23.02694789
305,42309,120.9711148,7,17.28158783
306,42316,100.3702416,7,14.33860594
307,42323,115.2341514,7,16.46202163
308,42330,88.67721241,7,12.6681732
309,42337,74.74049537,7,10.67721362
310,42344,71.43932743,7,10.2056182
311,42351,58.44778195,7,8.349683136
312,42358,57.14621273,7,8.163744675
313,42365,55.30535158,7,7.900764512
314,42372,56.15159068,7,8.021655812
315,42379,65.03641798,7,9.290916855
316,42386,80.09225701,7,11.441751
317,42393,85.64967656,7,12.23566808
318,42400,77.82551894,7,11.11793128
319,42407,151.5648238,7,21.65211769
320,42414,117.0699418,7,16.7242774
321,42421,128.4547452,7,18.35067789
322,42428,113.0534508,7,16.15049297
323,42435,76.97850301,7,10.996929
324,42442,131.7664965,7,18.82378522
325,42449,119.9912624,7,17.14160891
326,42456,141.6589246,7,20.23698923
327,42463,176.0021753,7,25.1431679
328,42470,132.5403495,7,18.93433564
329,42477,164.1212383,7,23.44589118
330,42484,144.5000035,7,20.64285764
331,42491,155.064585,7,22.15208357
332,42498,182.6251059,7,26.08930085
333,42505,168.3880393,7,24.05543419
334,42512,171.9067334,7,24.55810478
335,42519,244.0401624,7,34.86288034
336,42526,221.9102262,7,31.70146088
337,42533,164.5877968,7,23.51254241
338,42540,227.5841998,7,32.51202855
339,42547,264.5829623,7,37.79756604
340,42554,220.6699921,7,31.52428459
341,42561,238.8622542,7,34.12317916
342,42568,227.5015427,7,32.50022039
343,42575,280.6112479,7,40.08732112
344,42582,246.9246264,7,35.27494663
345,42589,247.720132,7,35.38859029
346,42596,271.3544341,7,38.76491916
347,42603,242.6180091,7,34.65971558
348,42610,220.8273146,7,31.54675923
349,42617,234.0615257,7,33.43736082
350,42624,214.2114681,7,30.6016383
351,42631,206.2596693,7,29.46566705
352,42638,218.3078759,7,31.18683942
353,42645,149.729672,7,21.38995315
354,42652,155.9753559,7,22.28219369
355,42659,143.2420025,7,20.46314322
356,42666,112.7419893,7,16.10599848
357,42673,120.2168913,7,17.17384161
358,42680,145.6621851,7,20.80888359
359,42687,105.045446,7,15.00649228
360,42694,72.3206549,7,10.33152213
361,42701,84.11940182,7,12.0170574
362,42708,63.37439181,7,9.053484544
363,42715,69.2864575,7,9.898065357
364,42722,76.75666748,7,10.96523821
365,42729,85.27205386,7,12.18172198
366,42736,43.64301419,7,6.234716313
367,42743,73.44664756,7,10.49237822
368,42750,68.16810129,7,9.738300184
369,42757,72.82514129,7,10.40359161
370,42764,89.3960297,7,12.77086139
371,42771,94.90324594,7,13.55760656
372,42778,101.9898735,7,14.56998193
373,42785,72.83467223,7,10.40495318
374,42792,93.75494227,7,13.39356318
375,42799,104.6594873,7,14.95135533
376,42806,147.3353912,7,21.04791303
377,42813,99.51857861,7,14.2169398
378,42820,127.522401,7,18.21748586
379,42827,124.5764881,7,17.79664116
380,42834,102.3375198,7,14.61964569
381,42841,124.9113665,7,17.84448093
382,42848,137.1161704,7,19.58802434
383,42855,194.629009,7,27.80414414
384,42862,168.7899824,7,24.11285463
385,42869,173.6061998,7,24.80088569
386,42876,217.3725435,7,31.0532205
387,42883,204.8052204,7,29.25788864
388,42890,176.9528547,7,25.27897924
389,42897,192.8304301,7,27.54720429
390,42904,283.3222515,7,40.47460736
391,42911,241.9726239,7,34.56751771
392,42918,261.1789849,7,37.31128356
393,42925,258.2284883,7,36.88978404
394,42932,254.7738573,7,36.39626533
395,42939,261.2800971,7,37.32572816
396,42946,277.4010443,7,39.62872061
397,42953,248.2310123,7,35.46157318
398,42960,248.7622688,7,35.53746697
399,42967,251.4150934,7,35.91644192
400,42974,278.6888165,7,39.81268806
401,42981,239.6673245,7,34.23818922
402,42988,226.6959906,7,32.38514152
403,42995,166.9078832,7,23.84398331
404,43002,203.4009994,7,29.05728563
405,43009,181.18081,7,25.88297285
406,43016,163.1521504,7,23.30745006
407,43023,160.4180878,7,22.91686969
408,43030,210.0551528,7,30.00787897
409,43037,138.4811511,7,19.78302159
410,43044,93.11024936,7,13.30146419
411,43051,90.33610858,7,12.90515837
412,43058,112.8801629,7,16.12573756
413,43065,92.48654704,7,13.21236386
414,43072,114.4180084,7,16.34542978
415,43079,123.8481325,7,17.69259035
416,43086,83.83494222,7,11.97642032
417,43093,103.6278448,7,14.80397783
